Crane_Operation_ID,Date_Record_ID,Port_Record_ID,Ship_Record_ID,Crane_ID,Crane_Type,Operating_Hours,Downtime_Hours,Containers_Handled,Maintenance_Status
CRN00052,DR00929,PR00006,SR04247,QC-03,RTG Crane,7.01,1.3,211,Inspection
CRN00053,DR05680,PR00003,SR03574,QC-07,Quay Crane,6.71,1.59,171,Maintenance
CRN00054,DR00290,PR00004,SR01602,QC-03,Quay Crane,7.75,1.63,162,Maintenance
CRN00055,DR01668,PR00006,SR08294,QC-02,RTG Crane,7.53,0.5,229,Operational
CRN00056,DR01074,PR00006,SR01846,QC-06,RTG Crane,6.96,0.77,167,Operational
CRN00057,DR07559,PR00006,SR08233,QC-05,Quay Crane,7.17,2.07,153,Maintenance
CRN00058,DR03781,PR00006,SR01156,QC-06,Quay Crane,7.65,0.94,270,Operational
CRN00059,DR02402,PR00006,SR04512,QC-04,Quay Crane,8.98,0.45,193,Operational
CRN00060,DR08462,PR00001,SR06753,QC-01,Quay Crane,6.16,0.35,133,Operational
CRN00061,DR05181,PR00002,SR03031,QC-03,RTG Crane,5.27,1.89,139,Maintenance
CRN00062,DR03900,PR00007,SR05403,QC-05,Quay Crane,7.49,1.83,187,Maintenance
CRN00063,DR05216,PR00004,SR02333,QC-08,Quay Crane,5.84,0.61,164,Operational
CRN00064,DR06276,PR00001,SR03975,QC-04,Quay Crane,9.34,0.87,259,Operational
CRN00065,DR08408,PR00003,SR09380,QC-01,RTG Crane,7.76,0.22,211,Operational
CRN00066,DR07958,PR00004,SR02938,QC-08,Quay Crane,7.02,1.0,219,Operational
CRN00067,DR04581,PR00006,SR00141,QC-08,Quay Crane,7.15,0.07,225,Operational
CRN00068,DR05198,PR00006,SR03951,QC-05,RTG Crane,7.82,2.19,191,Maintenance
CRN00069,DR09848,PR00001,SR01762,QC-05,Quay Crane,8.14,1.98,201,Maintenance
CRN00070,DR05519,PR00003,SR00259,QC-08,Quay Crane,10.0,0.82,281,Operational
CRN00071,DR03440,PR00001,SR07665,QC-02,Quay Crane,5.63,0.67,146,Operational
CRN00072,DR05807,PR00006,SR09434,QC-06,Quay Crane,8.67,0.77,274,Operational
CRN00073,DR06734,PR00001,SR00726,QC-02,Quay Crane,10.0,1.22,297,Inspection
CRN00074,DR00965,PR00004,SR01138,QC-01,Quay Crane,7.79,1.24,222,Inspection
CRN00075,DR09361,PR00004,SR05745,QC-01,RTG Crane,7.33,0.6,241,Operational
CRN00076,DR09819,PR00004,SR04326,QC-01,Quay Crane,6.67,0.87,195,Operational
CRN00077,DR00322,PR00004,SR05944,QC-01,Quay Crane,7.1,0.62,197,Operational
CRN00078,DR04689,PR00005,SR00429,QC-05,Quay Crane,7.17,1.69,184,Maintenance
CRN00079,DR08280,PR00004,SR05498,QC-06,Quay Crane,8.99,1.41,244,Inspection
CRN00080,DR00140,PR00001,SR07784,QC-07,Quay Crane,9.12,1.14,291,Inspection
CRN00081,DR03833,PR00003,SR04552,QC-02,Quay Crane,6.46,0.99,181,Operational
CRN00082,DR04666,PR00004,SR02736,QC-04,Quay Crane,9.17,0.74,211,Operational
CRN00083,DR02076,PR00002,SR05008,QC-03,Quay Crane,7.5,1.48,175,Inspection
CRN00084,DR00856,PR00005,SR07414,QC-04,Quay Crane,7.58,0.59,236,Operational
CRN00085,DR06749,PR00002,SR03323,QC-08,Quay Crane,8.64,0.68,214,Operational
CRN00086,DR08508,PR00006,SR03424,QC-04,Quay Crane,6.91,0.47,196,Operational
CRN00087,DR09250,PR00001,SR05174,QC-04,Quay Crane,7.44,1.14,215,Inspection
CRN00088,DR01654,PR00005,SR03795,QC-07,Quay Crane,7.76,1.28,211,Inspection
CRN00089,DR00103,PR00001,SR02579,QC-05,Quay Crane,9.44,1.84,243,Maintenance
CRN00090,DR05650,PR00003,SR07771,QC-04,Quay Crane,4.41,0.85,88,Operational
CRN00091,DR01389,PR00002,SR02269,QC-02,Quay Crane,7.51,0.99,221,Operational
CRN00092,DR02198,PR00004,SR00752,QC-06,RTG Crane,5.74,0.79,122,Operational
CRN00093,DR00389,PR00002,SR07571,QC-06,Quay Crane,9.09,0.65,262,Operational
CRN00094,DR01756,PR00006,SR05392,QC-08,Quay Crane,5.52,0.5,89,Operational
CRN00095,DR05941,PR00004,SR09309,QC-05,Quay Crane,8.91,2.07,206,Maintenance
CRN00096,DR09234,PR00007,SR05648,QC-01,RTG Crane,6.42,0.48,177,Operational
CRN00097,DR06724,PR00005,SR01311,QC-07,Quay Crane,10.0,0.91,268,Operational
CRN00098,DR07519,PR00004,SR07583,QC-01,Quay Crane,5.79,0.59,178,Operational
CRN00099,DR04959,PR00006,SR06549,QC-03,Quay Crane,7.51,1.77,137,Maintenance
CRN00100,DR01130,PR00002,SR07399,QC-05,Quay Crane,7.94,1.83,181,Maintenance
CRN00101,DR03365,PR00004,SR00383,QC-05,RTG Crane,6.96,1.43,149,Inspection
CRN00102,DR03083,PR00003,SR08861,QC-06,Quay Crane,5.2,0.73,170,Operational
CRN00103,DR04550,PR00005,SR02873,QC-05,Quay Crane,7.77,1.71,174,Maintenance
CRN00104,DR04468,PR00001,SR05905,QC-05,Quay Crane,4.56,1.85,103,Maintenance
CRN00105,DR05318,PR00003,SR08906,QC-05,RTG Crane,7.7,1.98,201,Maintenance
CRN00106,DR00457,PR00004,SR00658,QC-03,Quay Crane,7.49,1.54,177,Inspection
CRN00107,DR03119,PR00003,SR03947,QC-08,Quay Crane,6.4,0.59,189,Operational
CRN00108,DR03651,PR00002,SR07025,QC-03,Quay Crane,3.49,1.12,68,Inspection
CRN00109,DR03235,PR00003,SR03098,QC-04,Quay Crane,4.0,0.28,55,Operational
CRN00110,DR08801,PR00006,SR02219,QC-08,Quay Crane,5.85,0.67,128,Operational
CRN00111,DR01994,PR00002,SR05905,QC-01,RTG Crane,6.83,0.12,134,Operational
CRN00112,DR08975,PR00003,SR09862,QC-05,Quay Crane,7.9,2.28,203,Maintenance
CRN00113,DR05486,PR00007,SR00720,QC-02,Quay Crane,7.42,1.1,193,Inspection
CRN00114,DR03832,PR00007,SR00393,QC-07,Quay Crane,5.17,1.56,121,Maintenance
CRN00115,DR07829,PR00001,SR03868,QC-04,Quay Crane,9.44,0.64,273,Operational
CRN00116,DR09351,PR00003,SR05474,QC-08,RTG Crane,8.96,0.63,262,Operational
CRN00117,DR06012,PR00001,SR06988,QC-03,Quay Crane,7.0,1.04,155,Inspection
CRN00118,DR03007,PR00007,SR07175,QC-08,Quay Crane,8.55,0.83,241,Operational
CRN00119,DR02217,PR00003,SR09402,QC-04,Quay Crane,5.93,0.3,131,Operational
CRN00120,DR04349,PR00003,SR08190,QC-08,Quay Crane,6.73,0.56,134,Operational
CRN00121,DR09377,PR00002,SR06933,QC-02,Quay Crane,4.16,0.58,146,Operational
CRN00122,DR07394,PR00004,SR06810,QC-05,Quay Crane,6.09,2.21,144,Maintenance
CRN00123,DR06515,PR00001,SR02322,QC-05,RTG Crane,6.67,1.95,182,Maintenance
CRN00124,DR08621,PR00006,SR07747,QC-07,Quay Crane,8.36,1.26,185,Inspection
CRN00125,DR06331,PR00003,SR09092,QC-01,Quay Crane,8.45,0.47,242,Operational
CRN00126,DR00789,PR00004,SR07888,QC-06,Quay Crane,5.45,1.13,134,Inspection
CRN00127,DR07916,PR00006,SR08549,QC-03,Quay Crane,5.82,1.73,144,Maintenance
CRN00128,DR02197,PR00001,SR09593,QC-03,Quay Crane,6.65,1.74,218,Maintenance
CRN00129,DR07344,PR00001,SR07016,QC-01,Quay Crane,9.19,1.19,189,Inspection
CRN00130,DR03386,PR00003,SR05706,QC-02,Quay Crane,8.61,0.56,252,Operational
CRN00131,DR04162,PR00006,SR04943,QC-06,Quay Crane,7.69,0.8,242,Operational
CRN00132,DR04029,PR00001,SR06635,QC-01,Quay Crane,7.85,0.74,227,Operational
CRN00133,DR07024,PR00006,SR02640,QC-01,Quay Crane,7.37,0.55,232,Operational
CRN00134,DR08868,PR00003,SR06371,QC-08,Quay Crane,7.8,0.7,187,Operational
CRN00135,DR05682,PR00004,SR07024,QC-01,Quay Crane,5.91,0.17,163,Operational
CRN00136,DR03400,PR00004,SR09385,QC-01,Quay Crane,6.32,0.75,195,Operational
CRN00137,DR09045,PR00001,SR05810,QC-04,Quay Crane,5.92,0.58,142,Operational
CRN00138,DR09623,PR00002,SR03082,QC-02,Quay Crane,8.95,0.92,197,Operational
CRN00139,DR04916,PR00005,SR05616,QC-04,Quay Crane,9.78,0.65,330,Operational
CRN00140,DR00740,PR00003,SR04583,QC-06,RTG Crane,7.19,0.67,214,Operational
CRN00141,DR07858,PR00004,SR01313,QC-03,Quay Crane,9.6,1.77,274,Maintenance
CRN00142,DR08166,PR00007,SR03798,QC-01,Quay Crane,8.31,0.7,227,Operational
CRN00143,DR08739,PR00001,SR08933,QC-02,Quay Crane,7.05,0.82,207,Operational
CRN00144,DR05376,PR00003,SR00950,QC-01,Quay Crane,4.26,0.3,102,Operational
CRN00145,DR09616,PR00003,SR09621,QC-04,RTG Crane,10.0,0.89,275,Operational
CRN00146,DR06655,PR00001,SR04149,QC-01,Quay Crane,8.65,0.67,241,Operational
CRN00147,DR06353,PR00007,SR04802,QC-04,Quay Crane,7.09,0.47,206,Operational
CRN00148,DR03725,PR00007,SR02985,QC-02,Quay Crane,7.31,0.93,183,Operational
CRN00149,DR07563,PR00002,SR05264,QC-08,Quay Crane,9.42,0.59,249,Operational
CRN00150,DR01867,PR00007,SR08972,QC-07,Quay Crane,6.72,1.3,195,Inspection
CRN00151,DR07390,PR00001,SR08984,QC-07,RTG Crane,5.06,1.33,138,Inspection
CRN00152,DR01289,PR00007,SR08431,QC-06,Quay Crane,9.31,0.78,279,Operational
CRN00153,DR08028,PR00006,SR04574,QC-08,Quay Crane,6.33,0.73,134,Operational
CRN00154,DR01402,PR00002,SR05601,QC-02,RTG Crane,6.53,1.18,191,Inspection
CRN00155,DR00452,PR00004,SR01444,QC-08,Quay Crane,4.65,0.79,93,Operational
CRN00156,DR07302,PR00006,SR04685,QC-04,Quay Crane,9.36,0.7,298,Operational
CRN00157,DR07459,PR00002,SR00398,QC-01,Quay Crane,8.57,0.56,236,Operational
CRN00158,DR03077,PR00002,SR05404,QC-05,Quay Crane,4.52,2.23,103,Maintenance
CRN00159,DR02814,PR00004,SR05003,QC-07,RTG Crane,8.63,1.57,232,Maintenance
CRN00160,DR03881,PR00001,SR08823,QC-06,Quay Crane,8.3,0.68,237,Operational
CRN00161,DR03443,PR00001,SR04600,QC-04,Quay Crane,9.09,0.83,274,Operational
CRN00162,DR07208,PR00002,SR09063,QC-04,Quay Crane,6.34,0.63,208,Operational
CRN00163,DR09867,PR00005,SR01549,QC-06,RTG Crane,4.52,0.64,69,Operational
CRN00164,DR03063,PR00003,SR09817,QC-03,Quay Crane,6.39,1.56,157,Maintenance
CRN00165,DR05749,PR00003,SR08424,QC-07,Quay Crane,4.96,1.34,111,Inspection
CRN00166,DR08381,PR00001,SR00429,QC-04,Quay Crane,8.87,0.55,222,Operational
CRN00167,DR06061,PR00001,SR05583,QC-02,Quay Crane,3.5,0.76,52,Operational
CRN00168,DR03875,PR00004,SR07586,QC-01,Quay Crane,6.78,0.84,183,Operational
CRN00169,DR05283,PR00001,SR05203,QC-02,Quay Crane,5.72,0.72,116,Operational
CRN00170,DR05393,PR00004,SR03021,QC-05,Quay Crane,6.26,1.7,187,Maintenance
CRN00171,DR04123,PR00003,SR01604,QC-01,Quay Crane,6.75,0.27,164,Operational
CRN00172,DR01060,PR00005,SR07021,QC-03,Quay Crane,7.82,1.49,216,Inspection
CRN00173,DR05049,PR00003,SR03011,QC-04,Quay Crane,7.23,0.34,176,Operational
CRN00174,DR00462,PR00006,SR08226,QC-01,RTG Crane,7.12,0.19,173,Operational
CRN00175,DR02000,PR00001,SR00056,QC-04,Quay Crane,6.77,0.64,171,Operational
CRN00176,DR08506,PR00006,SR06919,QC-06,RTG Crane,9.13,0.79,219,Operational
CRN00177,DR03317,PR00002,SR09620,QC-06,Quay Crane,8.29,0.61,259,Operational
CRN00178,DR04209,PR00001,SR01231,QC-01,Quay Crane,6.19,0.27,180,Operational
CRN00179,DR06665,PR00004,SR00541,QC-04,Quay Crane,5.1,0.28,162,Operational
CRN00180,DR04829,PR00002,SR03847,QC-02,Quay Crane,7.45,0.86,190,Operational
CRN00181,DR05827,PR00003,SR01478,QC-01,Quay Crane,7.37,0.22,236,Operational
CRN00182,DR00187,PR00006,SR04773,QC-07,Quay Crane,6.01,0.89,176,Operational
CRN00183,DR05288,PR00006,SR08110,QC-07,Quay Crane,6.1,1.16,133,Inspection
CRN00184,DR03303,PR00004,SR07875,QC-03,Quay Crane,7.81,1.29,210,Inspection
CRN00185,DR00680,PR00007,SR06408,QC-02,Quay Crane,10.0,0.84,294,Operational
CRN00186,DR07884,PR00003,SR03140,QC-03,Quay Crane,9.22,1.83,226,Maintenance
CRN00187,DR00212,PR00001,SR07966,QC-06,Quay Crane,6.0,0.79,182,Operational
CRN00188,DR06936,PR00006,SR08979,QC-08,Quay Crane,7.31,0.05,161,Operational
CRN00189,DR01811,PR00002,SR06955,QC-05,Quay Crane,7.79,2.07,193,Maintenance
CRN00190,DR01652,PR00001,SR09249,QC-08,Quay Crane,8.07,0.3,211,Operational
CRN00191,DR00400,PR00001,SR09155,QC-03,Quay Crane,9.75,1.53,301,Inspection
CRN00192,DR01964,PR00002,SR02022,QC-01,Quay Crane,6.8,0.32,160,Operational
CRN00193,DR06337,PR00002,SR03869,QC-05,Quay Crane,5.86,1.86,148,Maintenance
CRN00194,DR06440,PR00002,SR05126,QC-03,Quay Crane,7.45,1.26,238,Inspection
CRN00195,DR02255,PR00004,SR09464,QC-07,Quay Crane,5.88,1.08,162,Inspection
CRN00196,DR04063,PR00005,SR02645,QC-03,Quay Crane,7.3,0.9,170,Operational
CRN00197,DR05188,PR00007,SR03567,QC-04,RTG Crane,6.22,0.55,191,Operational
CRN00198,DR00408,PR00001,SR01404,QC-04,Quay Crane,8.26,0.41,283,Operational
CRN00199,DR03694,PR00001,SR09339,QC-06,Quay Crane,9.21,1.03,250,Inspection
CRN00200,DR07741,PR00004,SR02521,QC-08,RTG Crane,5.53,1.13,193,Inspection
CRN00201,DR03212,PR00001,SR00510,QC-02,Quay Crane,5.69,0.8,169,Operational
CRN00202,DR03028,PR00003,SR07873,QC-08,Quay Crane,5.68,1.04,208,Inspection
CRN00203,DR01921,PR00004,SR04452,QC-06,Quay Crane,6.72,0.5,200,Operational
CRN00204,DR00173,PR00006,SR07582,QC-07,Quay Crane,8.58,1.24,293,Inspection
CRN00205,DR08462,PR00002,SR08316,QC-02,RTG Crane,4.97,0.72,121,Operational
CRN00206,DR01321,PR00004,SR06126,QC-03,Quay Crane,7.64,1.16,208,Inspection
CRN00207,DR01004,PR00004,SR09908,QC-08,Quay Crane,9.7,0.1,242,Operational
CRN00208,DR06491,PR00006,SR06700,QC-04,RTG Crane,5.86,0.81,180,Operational
CRN00209,DR01551,PR00002,SR09158,QC-01,Quay Crane,6.24,0.76,174,Operational
CRN00210,DR02628,PR00005,SR01827,QC-03,Quay Crane,6.26,1.37,183,Inspection
CRN00211,DR01512,PR00005,SR07009,QC-08,Quay Crane,9.39,0.22,278,Operational
CRN00212,DR05533,PR00002,SR08041,QC-02,Quay Crane,7.39,0.58,217,Operational
CRN00213,DR05966,PR00004,SR00390,QC-06,Quay Crane,8.51,0.83,257,Operational
CRN00214,DR03831,PR00005,SR02298,QC-06,Quay Crane,6.3,1.23,194,Inspection
CRN00215,DR03897,PR00002,SR04351,QC-04,Quay Crane,8.54,0.38,249,Operational
CRN00216,DR04847,PR00003,SR08419,QC-05,Quay Crane,7.02,2.01,186,Maintenance
CRN00217,DR03954,PR00003,SR05331,QC-04,Quay Crane,9.75,1.01,239,Inspection
CRN00218,DR09517,PR00005,SR08852,QC-08,Quay Crane,8.49,0.59,265,Operational
CRN00219,DR04272,PR00001,SR07140,QC-07,Quay Crane,9.7,1.26,234,Inspection
CRN00220,DR01372,PR00003,SR07082,QC-07,Quay Crane,8.85,1.14,231,Inspection
CRN00221,DR09434,PR00001,SR07792,QC-01,RTG Crane,5.9,0.21,166,Operational
CRN00222,DR00320,PR00004,SR00271,QC-04,Quay Crane,9.7,0.71,226,Operational
CRN00223,DR08208,PR00005,SR07916,QC-05,Quay Crane,9.69,1.62,219,Maintenance
CRN00224,DR06093,PR00003,SR02378,QC-04,Quay Crane,5.18,0.93,114,Operational
CRN00225,DR07823,PR00004,SR03804,QC-04,Quay Crane,7.1,0.92,205,Operational
CRN00226,DR01595,PR00002,SR07045,QC-08,Quay Crane,6.04,0.62,174,Operational
CRN00227,DR02220,PR00002,SR05620,QC-06,Quay Crane,7.77,0.83,193,Operational
CRN00228,DR04808,PR00005,SR06436,QC-07,Quay Crane,7.48,1.34,237,Inspection
CRN00229,DR08608,PR00001,SR09436,QC-05,Quay Crane,7.97,1.67,196,Maintenance
CRN00230,DR00445,PR00005,SR06179,QC-05,Quay Crane,6.27,1.19,211,Inspection
CRN00231,DR07442,PR00004,SR03806,QC-08,Quay Crane,4.99,0.37,128,Operational
CRN00232,DR09751,PR00006,SR09924,QC-07,Quay Crane,5.47,1.08,123,Inspection
CRN00233,DR09114,PR00002,SR04393,QC-02,Quay Crane,8.29,0.53,307,Operational
CRN00234,DR08374,PR00003,SR09112,QC-06,Quay Crane,5.95,1.27,93,Inspection
CRN00235,DR07956,PR00001,SR02191,QC-06,Quay Crane,4.94,0.56,143,Operational
CRN00236,DR07400,PR00007,SR01983,QC-01,Quay Crane,5.9,0.63,137,Operational
CRN00237,DR02238,PR00005,SR04545,QC-05,RTG Crane,8.5,1.85,183,Maintenance
CRN00238,DR06459,PR00004,SR04391,QC-07,Quay Crane,5.84,0.91,154,Operational
CRN00239,DR07524,PR00005,SR08777,QC-02,Quay Crane,7.9,0.81,261,Operational
CRN00240,DR05370,PR00002,SR07890,QC-03,Quay Crane,7.22,1.06,209,Inspection
CRN00241,DR02160,PR00004,SR09061,QC-07,Quay Crane,7.39,1.21,148,Inspection
CRN00242,DR09293,PR00006,SR06434,QC-06,Quay Crane,7.78,0.95,173,Operational
CRN00243,DR03215,PR00001,SR04780,QC-08,Quay Crane,4.99,0.15,122,Operational
CRN00244,DR06493,PR00007,SR01211,QC-08,Quay Crane,7.61,0.14,184,Operational
CRN00245,DR05193,PR00006,SR02340,QC-01,Quay Crane,6.6,0.91,218,Operational
CRN00246,DR09268,PR00007,SR02824,QC-03,Quay Crane,6.66,1.44,189,Inspection
CRN00247,DR09823,PR00006,SR06069,QC-02,Quay Crane,6.47,0.66,161,Operational
CRN00248,DR04941,PR00002,SR07566,QC-02,Quay Crane,6.77,0.73,181,Operational
CRN00249,DR00816,PR00004,SR01615,QC-06,Quay Crane,7.7,0.83,180,Operational
CRN00250,DR07047,PR00001,SR09563,QC-06,RTG Crane,8.32,1.18,206,Inspection
CRN00251,DR04620,PR00005,SR05689,QC-06,RTG Crane,8.5,0.83,194,Operational
CRN00252,DR00525,PR00001,SR06938,QC-07,Quay Crane,10.0,0.83,275,Operational
CRN00253,DR00715,PR00006,SR07462,QC-01,Quay Crane,7.3,0.42,188,Operational
CRN00254,DR05277,PR00002,SR02014,QC-03,Quay Crane,9.03,1.14,242,Inspection
CRN00255,DR09885,PR00001,SR08635,QC-03,Quay Crane,6.32,1.29,196,Inspection
CRN00256,DR07993,PR00001,SR03413,QC-01,RTG Crane,5.83,0.88,150,Operational
CRN00257,DR02567,PR00005,SR00535,QC-07,Quay Crane,6.46,0.84,100,Operational
CRN00258,DR04897,PR00001,SR07585,QC-07,Quay Crane,5.92,0.91,210,Operational
CRN00259,DR07878,PR00001,SR00647,QC-07,Quay Crane,8.88,1.35,242,Inspection
CRN00260,DR08856,PR00001,SR07002,QC-01,RTG Crane,9.85,0.32,236,Operational
CRN00261,DR01344,PR00002,SR02937,QC-03,Quay Crane,8.14,1.61,207,Maintenance
CRN00262,DR02631,PR00007,SR06743,QC-02,Quay Crane,7.16,1.06,218,Inspection
CRN00263,DR09850,PR00003,SR05122,QC-08,Quay Crane,7.3,0.78,187,Operational
CRN00264,DR07499,PR00002,SR00767,QC-05,Quay Crane,7.74,2.14,193,Maintenance
CRN00265,DR05298,PR00001,SR09898,QC-02,Quay Crane,9.85,1.04,260,Inspection
CRN00266,DR01235,PR00001,SR04456,QC-02,Quay Crane,8.69,0.65,286,Operational
CRN00267,DR07195,PR00003,SR07125,QC-02,Quay Crane,10.0,1.41,330,Inspection
CRN00268,DR01881,PR00001,SR06963,QC-06,Quay Crane,6.83,0.61,214,Operational
CRN00269,DR09662,PR00001,SR05399,QC-05,Quay Crane,7.0,1.84,229,Maintenance
CRN00270,DR00164,PR00001,SR09616,QC-07,RTG Crane,7.7,1.12,160,Inspection
CRN00271,DR08535,PR00002,SR09133,QC-05,Quay Crane,5.96,2.24,134,Maintenance
CRN00272,DR09832,PR00005,SR04003,QC-04,Quay Crane,8.56,0.85,206,Operational
CRN00273,DR08595,PR00001,SR06216,QC-05,Quay Crane,6.32,2.02,178,Maintenance
CRN00274,DR08500,PR00005,SR00062,QC-07,Quay Crane,5.3,1.35,171,Inspection
CRN00275,DR07938,PR00004,SR03045,QC-06,Quay Crane,10.0,0.76,267,Operational
CRN00276,DR02152,PR00006,SR08139,QC-04,Quay Crane,9.21,0.5,245,Operational
CRN00277,DR00803,PR00001,SR08256,QC-07,Quay Crane,8.04,1.67,212,Maintenance
CRN00278,DR02791,PR00006,SR03477,QC-01,RTG Crane,8.55,0.92,208,Operational
CRN00279,DR09193,PR00006,SR00166,QC-01,Quay Crane,8.4,0.51,180,Operational
CRN00280,DR05684,PR00007,SR05346,QC-06,Quay Crane,7.02,0.76,219,Operational
CRN00281,DR00790,PR00006,SR01323,QC-08,Quay Crane,9.79,0.68,252,Operational
CRN00282,DR07865,PR00001,SR00173,QC-02,Quay Crane,9.3,1.15,241,Inspection
CRN00283,DR03075,PR00007,SR03914,QC-02,Quay Crane,8.44,0.93,248,Operational
CRN00284,DR07837,PR00006,SR04779,QC-08,RTG Crane,5.08,0.5,106,Operational
CRN00285,DR03451,PR00002,SR05766,QC-05,Quay Crane,5.15,1.85,182,Maintenance
CRN00286,DR02107,PR00001,SR06472,QC-06,Quay Crane,8.01,0.97,229,Operational
CRN00287,DR07996,PR00007,SR00950,QC-04,Quay Crane,9.18,1.1,225,Inspection
CRN00288,DR08220,PR00001,SR04811,QC-08,Quay Crane,5.58,0.38,187,Operational
CRN00289,DR02009,PR00005,SR08701,QC-05,Quay Crane,8.89,1.88,279,Maintenance
CRN00290,DR00035,PR00003,SR00170,QC-01,Quay Crane,6.38,0.75,118,Operational
