Movement_ID,Date_Record_ID,Port_Record_ID,Ship_Record_ID,Container_ID,Movement_Type,Status,Movement_Time_Min,Dwell_Time_Hours,Customs_Delay_Hours
MV00054,DR01633,PR00004,SR03478,CONT04554,Import,In Yard,91,43.6,0.0
MV00055,DR01373,PR00006,SR02653,CONT09578,Import,Loaded,85,51.8,0.0
MV00056,DR09011,PR00006,SR07980,CONT00180,Transshipment,In Yard,51,49.0,0.0
MV00057,DR03104,PR00006,SR05601,CONT08837,Import,Customs Hold,110,48.3,15.0
MV00058,DR01632,PR00006,SR02266,CONT04496,Export,In Yard,106,37.7,0.0
MV00059,DR03735,PR00006,SR01347,CONT09989,Import,In Yard,63,56.2,1.3
MV00060,DR08694,PR00001,SR09816,CONT08880,Import,Loaded,94,25.9,0.0
MV00061,DR03649,PR00002,SR07104,CONT02822,Export,Gate Out,78,71.1,0.0
MV00062,DR04177,PR00007,SR07669,CONT07651,Transshipment,In Yard,97,35.5,0.0
MV00063,DR08612,PR00004,SR02846,CONT01415,Import,Loaded,91,28.1,0.0
MV00064,DR02357,PR00001,SR03865,CONT02740,Import,Discharged,124,48.4,0.0
MV00065,DR09561,PR00003,SR00145,CONT06096,Export,Customs Hold,108,56.1,16.6
MV00066,DR07084,PR00004,SR01371,CONT00553,Export,Gate Out,66,35.8,0.0
MV00067,DR00478,PR00006,SR03813,CONT08383,Import,Gate Out,84,75.5,0.0
MV00068,DR08587,PR00006,SR07329,CONT03952,Import,In Yard,71,45.8,4.1
MV00069,DR06215,PR00001,SR01097,CONT02919,Transshipment,In Yard,101,38.8,0.0
MV00070,DR09637,PR00003,SR04275,CONT03104,Import,In Yard,105,54.0,0.0
MV00071,DR05592,PR00001,SR08158,CONT02164,Import,Discharged,85,55.7,0.0
MV00072,DR07657,PR00006,SR06342,CONT00891,Import,Discharged,111,74.4,0.0
MV00073,DR04326,PR00001,SR04109,CONT02907,Import,Gate Out,86,40.5,0.0
MV00074,DR09606,PR00004,SR01176,CONT02810,Export,In Yard,117,33.9,0.0
MV00075,DR00022,PR00004,SR01568,CONT08549,Import,Gate Out,88,34.1,0.0
MV00076,DR03929,PR00004,SR00568,CONT09750,Export,Gate Out,100,28.1,0.0
MV00077,DR01741,PR00004,SR08036,CONT04720,Import,In Yard,64,38.1,0.0
MV00078,DR09048,PR00005,SR02403,CONT09760,Import,In Yard,96,46.5,0.0
MV00079,DR09025,PR00004,SR09188,CONT09701,Export,Loaded,73,45.3,0.0
MV00080,DR04721,PR00001,SR03834,CONT02185,Export,In Yard,79,54.6,2.8
MV00081,DR07080,PR00003,SR02972,CONT08523,Import,Customs Hold,109,22.0,19.1
MV00082,DR01240,PR00004,SR02275,CONT02502,Import,In Yard,69,38.4,0.0
MV00083,DR04982,PR00002,SR07448,CONT08616,Export,Gate Out,91,43.5,3.6
MV00084,DR09656,PR00005,SR03082,CONT08651,Export,In Yard,89,9.5,0.0
MV00085,DR01673,PR00002,SR07908,CONT05691,Export,Loaded,75,45.4,0.0
MV00086,DR01520,PR00006,SR08156,CONT07753,Export,Gate Out,122,85.0,0.0
MV00087,DR09952,PR00001,SR00160,CONT09091,Import,Gate Out,103,48.1,0.0
MV00088,DR00950,PR00005,SR00840,CONT07671,Transshipment,Discharged,95,52.0,0.0
MV00089,DR05475,PR00001,SR09682,CONT01062,Import,Gate Out,46,30.4,0.0
MV00090,DR03106,PR00003,SR05370,CONT05502,Import,Customs Hold,67,44.0,10.6
MV00091,DR09947,PR00002,SR06704,CONT00067,Export,Loaded,94,63.5,0.0
MV00092,DR05567,PR00004,SR03880,CONT04765,Import,Gate Out,81,40.0,0.0
MV00093,DR09608,PR00002,SR04715,CONT07231,Import,In Yard,55,59.0,0.0
MV00094,DR03205,PR00006,SR03309,CONT00928,Import,Gate Out,118,55.5,0.0
MV00095,DR05738,PR00004,SR05932,CONT00796,Export,Gate Out,93,63.6,0.0
MV00096,DR05989,PR00007,SR04921,CONT09196,Export,Loaded,108,61.2,0.0
MV00097,DR05020,PR00005,SR08771,CONT04594,Export,Gate Out,133,54.5,0.0
MV00098,DR05982,PR00004,SR09403,CONT08771,Import,Gate Out,109,52.1,0.0
MV00099,DR01925,PR00006,SR04830,CONT05444,Import,In Yard,75,37.4,0.0
MV00100,DR07490,PR00002,SR07464,CONT03624,Export,Gate Out,104,56.2,0.0
MV00101,DR04071,PR00004,SR09379,CONT00861,Export,Discharged,63,36.8,0.0
MV00102,DR09696,PR00003,SR06435,CONT01894,Export,Loaded,55,38.5,0.0
MV00103,DR04548,PR00005,SR02708,CONT09382,Import,Gate Out,94,45.5,5.9
MV00104,DR06262,PR00001,SR09575,CONT04626,Import,Discharged,72,16.6,2.1
MV00105,DR01886,PR00003,SR06850,CONT02874,Import,Loaded,65,43.9,0.0
MV00106,DR02471,PR00004,SR03635,CONT09808,Export,In Yard,79,26.7,0.0
MV00107,DR09748,PR00003,SR09863,CONT07427,Export,Gate Out,88,41.2,0.0
MV00108,DR00268,PR00002,SR07435,CONT04557,Transshipment,Gate Out,80,48.2,0.0
MV00109,DR07689,PR00003,SR09971,CONT04239,Import,Customs Hold,95,49.2,13.1
MV00110,DR06229,PR00006,SR01746,CONT08610,Import,Gate Out,79,53.5,5.3
MV00111,DR00805,PR00002,SR02021,CONT00153,Export,Gate Out,56,30.3,0.0
MV00112,DR03640,PR00003,SR00630,CONT05746,Import,In Yard,70,52.6,0.0
MV00113,DR00587,PR00007,SR01107,CONT05558,Export,Loaded,104,39.5,0.0
MV00114,DR03629,PR00007,SR05392,CONT05011,Export,Gate Out,73,52.2,0.0
MV00115,DR01784,PR00001,SR00903,CONT00411,Import,Loaded,89,62.9,0.0
MV00116,DR03306,PR00003,SR07583,CONT07158,Import,Discharged,89,21.1,0.0
MV00117,DR09986,PR00001,SR06655,CONT00314,Import,Loaded,97,38.7,0.0
MV00118,DR04243,PR00007,SR06589,CONT09521,Export,Loaded,114,46.5,0.0
MV00119,DR02050,PR00003,SR04742,CONT01692,Import,Customs Hold,89,46.5,8.6
MV00120,DR04864,PR00003,SR03704,CONT07595,Import,Loaded,132,36.7,0.0
MV00121,DR08016,PR00002,SR03059,CONT06844,Import,In Yard,75,30.3,0.0
MV00122,DR06718,PR00004,SR09142,CONT09475,Export,Discharged,98,49.8,0.0
MV00123,DR00993,PR00001,SR04313,CONT04861,Export,Customs Hold,49,26.7,15.9
MV00124,DR07687,PR00006,SR03528,CONT03961,Transshipment,Loaded,114,45.6,0.0
MV00125,DR00609,PR00003,SR02880,CONT07780,Export,In Yard,96,60.6,0.0
MV00126,DR04585,PR00004,SR03944,CONT00841,Import,Gate Out,85,27.5,0.0
MV00127,DR09689,PR00006,SR02260,CONT06224,Import,In Yard,89,46.0,0.0
MV00128,DR00857,PR00001,SR01492,CONT01260,Export,Loaded,57,26.3,0.0
MV00129,DR08349,PR00001,SR02897,CONT00526,Export,Loaded,84,36.3,0.0
MV00130,DR04419,PR00003,SR09156,CONT02000,Export,Customs Hold,82,37.4,10.1
MV00131,DR08814,PR00006,SR01265,CONT06118,Import,In Yard,86,34.2,0.0
MV00132,DR08979,PR00001,SR00864,CONT07612,Transshipment,Customs Hold,81,51.1,8.9
MV00133,DR07896,PR00006,SR01561,CONT00934,Import,Loaded,64,77.5,0.0
MV00134,DR09065,PR00003,SR07022,CONT02906,Export,Gate Out,121,39.7,0.0
MV00135,DR07664,PR00004,SR07115,CONT01050,Export,In Yard,78,31.1,0.0
MV00136,DR09656,PR00004,SR02762,CONT02182,Export,In Yard,117,41.0,0.0
MV00137,DR02767,PR00001,SR03886,CONT00090,Export,Gate Out,62,48.2,5.0
MV00138,DR07918,PR00002,SR03596,CONT08916,Export,Loaded,67,26.1,0.0
MV00139,DR06045,PR00005,SR00152,CONT07447,Export,Discharged,95,60.9,0.0
MV00140,DR07030,PR00003,SR02397,CONT08877,Export,Gate Out,71,15.7,0.0
MV00141,DR00314,PR00004,SR07705,CONT07601,Import,In Yard,98,49.0,0.0
MV00142,DR05457,PR00007,SR03675,CONT00444,Import,Gate Out,94,57.6,0.0
MV00143,DR05623,PR00001,SR00536,CONT08507,Export,Discharged,70,49.9,0.0
MV00144,DR03348,PR00003,SR03593,CONT06460,Export,In Yard,111,58.0,5.5
MV00145,DR04050,PR00003,SR08758,CONT04316,Export,In Yard,84,46.5,0.0
MV00146,DR08132,PR00001,SR08026,CONT03829,Import,Customs Hold,107,53.0,5.7
MV00147,DR02080,PR00007,SR08328,CONT04163,Import,Loaded,106,34.1,0.0
MV00148,DR01786,PR00007,SR09550,CONT02792,Import,Gate Out,96,44.6,0.0
MV00149,DR03380,PR00002,SR02450,CONT07680,Transshipment,Loaded,58,36.3,0.0
MV00150,DR07370,PR00007,SR00959,CONT04136,Import,Gate Out,73,64.3,0.0
MV00151,DR08959,PR00001,SR02037,CONT06966,Import,In Yard,64,48.1,0.0
MV00152,DR05434,PR00007,SR01782,CONT05910,Import,Loaded,100,61.9,0.0
MV00153,DR06515,PR00006,SR00334,CONT08143,Export,Discharged,60,41.2,0.0
MV00154,DR05851,PR00002,SR08291,CONT08701,Import,Gate Out,73,52.1,0.0
MV00155,DR02070,PR00004,SR07181,CONT08335,Export,In Yard,79,24.3,0.0
MV00156,DR03912,PR00006,SR07594,CONT05595,Import,Gate Out,80,38.2,0.0
MV00157,DR06582,PR00002,SR02271,CONT01672,Import,In Yard,54,32.7,0.0
MV00158,DR05639,PR00002,SR06188,CONT08394,Import,Loaded,77,39.3,0.0
MV00159,DR08082,PR00004,SR09974,CONT01429,Import,Gate Out,114,42.3,0.0
MV00160,DR07855,PR00001,SR02940,CONT01560,Export,Discharged,90,49.1,0.0
MV00161,DR04324,PR00001,SR04316,CONT04377,Transshipment,Loaded,59,41.1,0.0
MV00162,DR04825,PR00002,SR02226,CONT02898,Export,Discharged,63,57.0,0.0
MV00163,DR04337,PR00005,SR09573,CONT05835,Export,Gate Out,83,24.9,0.0
MV00164,DR08063,PR00003,SR09431,CONT08354,Import,Loaded,40,58.3,0.0
MV00165,DR01828,PR00003,SR05832,CONT01171,Export,Gate Out,108,36.6,0.0
MV00166,DR00234,PR00001,SR02486,CONT03561,Import,In Yard,72,51.1,0.0
MV00167,DR09609,PR00001,SR02114,CONT02984,Export,Customs Hold,44,28.6,14.0
MV00168,DR08021,PR00004,SR02768,CONT01935,Export,Gate Out,131,55.3,0.0
MV00169,DR08724,PR00001,SR06734,CONT07390,Import,Loaded,66,20.0,0.0
MV00170,DR08909,PR00004,SR03314,CONT08518,Import,Loaded,96,30.7,0.0
MV00171,DR03794,PR00003,SR06007,CONT06963,Import,In Yard,98,50.6,0.0
MV00172,DR09285,PR00005,SR06850,CONT00212,Import,In Yard,113,15.4,0.0
MV00173,DR02260,PR00003,SR05079,CONT06267,Export,Discharged,85,27.2,3.0
MV00174,DR04611,PR00006,SR05567,CONT06807,Transshipment,Discharged,94,59.5,0.0
MV00175,DR01076,PR00001,SR03688,CONT02067,Import,Customs Hold,95,40.6,8.4
MV00176,DR04394,PR00006,SR07386,CONT03716,Export,Gate Out,76,40.0,0.0
MV00177,DR05500,PR00002,SR05561,CONT00141,Export,Loaded,79,65.3,0.0
MV00178,DR03743,PR00001,SR06134,CONT02730,Import,Gate Out,94,60.4,0.0
MV00179,DR08741,PR00004,SR09481,CONT06202,Import,Loaded,56,40.5,0.0
MV00180,DR00832,PR00002,SR07481,CONT09665,Import,Loaded,46,58.1,0.0
MV00181,DR01769,PR00003,SR05565,CONT03972,Export,In Yard,105,64.7,0.0
MV00182,DR08744,PR00006,SR08720,CONT05713,Import,Discharged,102,49.3,0.0
MV00183,DR05358,PR00006,SR00631,CONT00005,Import,Gate Out,110,44.8,0.0
MV00184,DR02531,PR00004,SR05460,CONT08892,Import,Loaded,61,39.7,0.0
MV00185,DR07174,PR00007,SR09883,CONT05007,Export,Discharged,96,26.1,0.0
MV00186,DR01517,PR00003,SR02507,CONT04883,Export,Customs Hold,96,46.4,4.0
MV00187,DR08611,PR00001,SR06273,CONT01236,Import,Gate Out,67,35.7,0.0
MV00188,DR07655,PR00006,SR04030,CONT08090,Export,Loaded,109,50.2,0.0
MV00189,DR02405,PR00002,SR01152,CONT03173,Transshipment,In Yard,78,36.0,0.0
MV00190,DR01387,PR00001,SR01582,CONT02545,Import,In Yard,87,35.0,2.8
MV00191,DR02502,PR00001,SR00199,CONT06126,Import,Gate Out,96,37.5,0.0
MV00192,DR07646,PR00002,SR09233,CONT03929,Import,Gate Out,106,25.8,0.0
MV00193,DR05168,PR00002,SR02463,CONT07410,Import,In Yard,71,39.2,0.0
MV00194,DR08331,PR00002,SR04379,CONT03606,Export,In Yard,87,21.0,0.0
MV00195,DR07345,PR00004,SR05436,CONT08048,Export,In Yard,85,39.1,0.0
MV00196,DR02579,PR00005,SR08357,CONT03518,Export,Discharged,97,22.7,0.0
MV00197,DR03256,PR00007,SR07230,CONT02244,Import,Loaded,127,49.4,0.0
MV00198,DR01009,PR00001,SR09410,CONT05191,Export,Gate Out,74,40.3,0.0
MV00199,DR07661,PR00001,SR08864,CONT05740,Import,Discharged,71,40.3,0.0
MV00200,DR03679,PR00004,SR03595,CONT00169,Import,Gate Out,60,54.6,0.0
MV00201,DR02821,PR00001,SR02111,CONT06991,Import,In Yard,71,27.6,0.0
MV00202,DR01341,PR00003,SR01279,CONT06098,Export,Gate Out,96,42.8,0.0
MV00203,DR08885,PR00004,SR01362,CONT05533,Export,Discharged,114,60.4,0.0
MV00204,DR05851,PR00006,SR07810,CONT01157,Export,Customs Hold,98,50.4,16.2
MV00205,DR00744,PR00002,SR00392,CONT07531,Export,Loaded,60,41.9,0.0
MV00206,DR08999,PR00004,SR05927,CONT02537,Import,Loaded,79,78.0,0.0
MV00207,DR07128,PR00004,SR06608,CONT09869,Import,Loaded,95,47.2,0.0
MV00208,DR05186,PR00006,SR07457,CONT05736,Export,Loaded,103,45.2,0.0
MV00209,DR08973,PR00002,SR00347,CONT05287,Transshipment,Gate Out,73,32.6,0.0
MV00210,DR02342,PR00005,SR03823,CONT09467,Export,In Yard,64,44.2,1.6
MV00211,DR02478,PR00005,SR08780,CONT01776,Import,Gate Out,85,53.3,0.0
MV00212,DR05963,PR00002,SR00066,CONT08014,Transshipment,Gate Out,47,45.0,0.0
MV00213,DR03397,PR00004,SR08564,CONT09055,Import,In Yard,75,67.1,0.0
MV00214,DR00905,PR00005,SR07952,CONT02802,Import,Loaded,109,48.7,0.0
MV00215,DR06999,PR00002,SR06105,CONT01693,Import,In Yard,80,8.4,4.1
MV00216,DR03066,PR00003,SR09382,CONT09913,Import,Loaded,121,57.2,0.0
MV00217,DR09572,PR00003,SR00555,CONT03338,Export,Discharged,91,44.4,0.0
MV00218,DR09146,PR00005,SR08734,CONT00542,Export,In Yard,133,52.0,0.0
MV00219,DR03381,PR00001,SR00759,CONT08833,Import,Loaded,78,51.8,0.0
MV00220,DR08512,PR00003,SR07613,CONT00217,Import,Loaded,69,37.4,0.0
MV00221,DR06736,PR00001,SR06663,CONT09247,Export,Gate Out,50,45.5,0.0
MV00222,DR07701,PR00004,SR03176,CONT01945,Import,Gate Out,55,28.5,0.0
MV00223,DR09966,PR00005,SR04316,CONT07417,Import,Discharged,85,26.3,4.6
MV00224,DR06817,PR00003,SR02763,CONT03621,Import,In Yard,55,33.2,0.0
MV00225,DR07563,PR00004,SR02326,CONT00447,Export,Loaded,85,44.4,0.0
MV00226,DR07338,PR00002,SR03237,CONT08739,Transshipment,Customs Hold,69,46.6,9.2
MV00227,DR09660,PR00002,SR05885,CONT07011,Import,In Yard,104,27.2,0.0
MV00228,DR06381,PR00005,SR06230,CONT08413,Export,In Yard,82,71.6,2.5
MV00229,DR05448,PR00001,SR04605,CONT09381,Export,Discharged,77,27.4,0.0
MV00230,DR05677,PR00005,SR07382,CONT05423,Import,Gate Out,44,38.9,0.0
MV00231,DR05016,PR00004,SR07804,CONT02647,Transshipment,In Yard,54,38.7,0.0
MV00232,DR00513,PR00006,SR04398,CONT04225,Export,Discharged,108,51.4,0.0
MV00233,DR04803,PR00002,SR00848,CONT09234,Export,In Yard,71,49.4,0.0
MV00234,DR00991,PR00003,SR04652,CONT00763,Export,Loaded,98,78.4,0.0
MV00235,DR02736,PR00001,SR06706,CONT00247,Import,Loaded,58,26.2,0.0
MV00236,DR02319,PR00007,SR05891,CONT02570,Export,Loaded,107,53.1,0.0
MV00237,DR08343,PR00005,SR03077,CONT06414,Export,In Yard,71,42.9,0.0
MV00238,DR05475,PR00004,SR02272,CONT05168,Import,Discharged,108,57.3,0.0
MV00239,DR04315,PR00005,SR09272,CONT07413,Export,Discharged,80,51.8,0.0
MV00240,DR02202,PR00002,SR09695,CONT01736,Transshipment,Gate Out,81,42.4,0.0
MV00241,DR09282,PR00004,SR01986,CONT03852,Export,Discharged,61,19.1,0.0
MV00242,DR04669,PR00006,SR02774,CONT06398,Export,In Yard,83,35.6,0.0
MV00243,DR07903,PR00001,SR01169,CONT00079,Import,In Yard,112,27.3,0.0
MV00244,DR05822,PR00007,SR09796,CONT08104,Import,Loaded,75,39.2,0.0
MV00245,DR05955,PR00006,SR02389,CONT08015,Import,In Yard,84,34.8,0.0
MV00246,DR07488,PR00007,SR01050,CONT01294,Export,In Yard,65,36.3,0.0
MV00247,DR06288,PR00006,SR01214,CONT05417,Export,Loaded,59,36.2,2.3
MV00248,DR05582,PR00002,SR05716,CONT05678,Transshipment,Discharged,45,30.4,0.0
MV00249,DR05112,PR00004,SR02483,CONT08870,Import,Loaded,78,38.7,0.0
MV00250,DR06762,PR00001,SR08532,CONT04336,Transshipment,Gate Out,48,23.9,0.0
MV00251,DR00834,PR00005,SR08489,CONT01375,Transshipment,Loaded,61,42.5,0.0
MV00252,DR04531,PR00001,SR01081,CONT04852,Export,In Yard,12,26.3,0.0
MV00253,DR02124,PR00006,SR08533,CONT02127,Export,Gate Out,109,37.7,0.0
MV00254,DR09227,PR00002,SR06019,CONT00742,Import,Loaded,88,34.8,0.0
MV00255,DR07579,PR00001,SR01331,CONT07556,Import,Loaded,67,5.0,0.0
MV00256,DR07640,PR00001,SR01208,CONT06712,Import,Gate Out,81,78.4,0.0
MV00257,DR02181,PR00005,SR01146,CONT06504,Import,Gate Out,72,54.8,0.0
MV00258,DR04456,PR00001,SR02076,CONT06605,Import,In Yard,27,38.2,0.0
MV00259,DR00721,PR00001,SR02839,CONT07109,Export,In Yard,74,29.2,0.0
MV00260,DR01804,PR00001,SR01308,CONT03153,Import,Loaded,92,39.2,0.0
MV00261,DR05292,PR00002,SR06806,CONT08719,Import,In Yard,103,31.8,0.0
MV00262,DR07097,PR00007,SR03673,CONT04313,Import,Discharged,130,61.4,0.0
MV00263,DR08892,PR00003,SR04459,CONT01833,Export,Loaded,104,25.1,0.0
MV00264,DR04464,PR00002,SR02594,CONT08571,Transshipment,In Yard,44,19.0,0.0
MV00265,DR06829,PR00001,SR06133,CONT06515,Import,Gate Out,94,30.8,0.0
MV00266,DR02247,PR00001,SR09249,CONT04273,Export,Customs Hold,93,59.6,8.0
MV00267,DR03834,PR00003,SR08498,CONT04181,Transshipment,Loaded,71,30.7,0.0
MV00268,DR06009,PR00001,SR09787,CONT09748,Export,Gate Out,105,48.3,5.8
MV00269,DR05190,PR00001,SR04769,CONT01108,Export,Gate Out,66,11.2,0.0
MV00270,DR03872,PR00001,SR02780,CONT09288,Export,Loaded,71,40.3,0.0
MV00271,DR04318,PR00002,SR00587,CONT00534,Transshipment,Loaded,72,60.1,0.0
MV00272,DR07774,PR00005,SR07823,CONT09563,Import,Discharged,80,48.5,0.0
MV00273,DR04340,PR00001,SR03282,CONT04566,Export,In Yard,85,11.0,0.0
MV00274,DR02825,PR00005,SR07785,CONT00064,Import,Loaded,87,50.6,0.0
MV00275,DR00797,PR00004,SR07696,CONT08620,Import,Gate Out,95,38.5,0.0
MV00276,DR04693,PR00006,SR03341,CONT08749,Export,In Yard,77,65.4,0.0
MV00277,DR03250,PR00001,SR08915,CONT02643,Export,Loaded,80,40.7,0.0
MV00278,DR03536,PR00006,SR02268,CONT05730,Export,In Yard,82,26.8,0.0
MV00279,DR03491,PR00006,SR09557,CONT02373,Transshipment,In Yard,129,51.7,0.0
MV00280,DR08488,PR00007,SR07711,CONT00597,Export,Gate Out,73,33.9,0.0
MV00281,DR08843,PR00006,SR04932,CONT00053,Export,In Yard,107,25.4,0.0
MV00282,DR04253,PR00001,SR03106,CONT05879,Transshipment,Loaded,81,31.7,0.0
MV00283,DR05111,PR00007,SR03766,CONT02215,Import,Gate Out,79,47.1,0.0
MV00284,DR02354,PR00006,SR00061,CONT07794,Import,Gate Out,97,56.5,0.0
MV00285,DR00711,PR00002,SR07489,CONT03592,Import,In Yard,52,56.7,0.0
MV00286,DR08621,PR00001,SR03313,CONT04553,Export,Loaded,65,34.4,0.0
MV00287,DR03121,PR00007,SR05498,CONT04479,Export,Loaded,98,35.5,0.0
MV00288,DR09272,PR00001,SR06733,CONT07785,Export,Discharged,50,23.1,0.0
MV00289,DR02773,PR00005,SR08672,CONT05825,Import,Loaded,99,47.8,0.0
MV00290,DR03693,PR00003,SR02911,CONT08467,Export,In Yard,62,58.8,0.0
MV00291,DR04379,PR00005,SR07502,CONT04444,Export,Gate Out,59,42.1,4.4
MV00292,DR08781,PR00001,SR03055,CONT04518,Transshipment,Customs Hold,68,44.3,12.5
MV00293,DR03160,PR00005,SR00600,CONT02992,Import,Discharged,93,46.9,0.0
MV00294,DR04903,PR00003,SR01713,CONT05533,Export,In Yard,44,36.9,0.0
MV00295,DR07863,PR00007,SR00795,CONT09481,Export,Discharged,112,67.8,0.0
MV00296,DR07326,PR00001,SR02322,CONT07427,Export,Loaded,82,32.9,0.0
MV00297,DR03212,PR00001,SR09884,CONT09688,Import,Discharged,93,34.6,1.8
MV00298,DR02725,PR00001,SR07212,CONT00006,Import,In Yard,46,38.5,0.0
MV00299,DR03068,PR00001,SR05815,CONT04246,Import,Discharged,87,35.2,0.0
MV00300,DR01598,PR00007,SR07145,CONT08149,Export,Discharged,79,30.7,0.0
MV00301,DR04659,PR00001,SR06113,CONT06772,Export,Customs Hold,88,11.4,9.5
MV00302,DR05194,PR00002,SR08669,CONT01013,Export,Gate Out,94,32.1,2.9
MV00303,DR09130,PR00006,SR06072,CONT05940,Export,Loaded,86,66.9,0.0
MV00304,DR04027,PR00002,SR04865,CONT06843,Import,In Yard,107,62.7,0.0
MV00305,DR02761,PR00002,SR00534,CONT00367,Import,Loaded,45,25.0,0.0
MV00306,DR00003,PR00005,SR04805,CONT02901,Export,Gate Out,65,37.9,5.4
MV00307,DR09944,PR00003,SR03601,CONT09796,Export,Loaded,65,40.7,0.0
MV00308,DR00456,PR00006,SR04750,CONT09529,Export,In Yard,97,36.1,0.0
MV00309,DR00103,PR00004,SR09987,CONT07832,Export,In Yard,103,61.5,0.0
