Truck_Movement_ID,Date_Record_ID,Port_Record_ID,Container_ID,Gate_ID,Truck_Type,Arrival_Hour,Waiting_Minutes,Processing_Minutes,Gate_Status
TRK00059,DR04110,PR00006,CONT08876,Gate 1,Trailer,16,37.7,21.7,Completed
TRK00060,DR00428,PR00001,CONT02802,Gate 3,Container Truck,11,81.5,27.1,Completed
TRK00061,DR05852,PR00002,CONT07595,Gate 2,Container Truck,13,55.9,13.8,Completed
TRK00062,DR01487,PR00007,CONT04356,Gate 5,Container Truck,11,73.2,19.9,Cancelled
TRK00063,DR09006,PR00004,CONT04371,Gate 4,Trailer,11,55.0,37.0,Completed
TRK00064,DR05019,PR00001,CONT09451,Gate 5,Trailer,14,30.8,25.6,Completed
TRK00065,DR06675,PR00003,CONT02299,Gate 1,Trailer,16,36.7,13.5,Completed
TRK00066,DR03872,PR00004,CONT08699,Gate 4,Container Truck,7,39.5,25.2,Completed
TRK00067,DR05292,PR00006,CONT01813,Gate 3,Trailer,22,64.4,22.1,Completed
TRK00068,DR02975,PR00006,CONT05443,Gate 1,Container Truck,22,57.7,22.3,Completed
TRK00069,DR02230,PR00001,CONT01133,Gate 3,Container Truck,15,64.9,35.6,Completed
TRK00070,DR06178,PR00003,CONT00582,Gate 3,Container Truck,11,60.4,38.7,Completed
TRK00071,DR03368,PR00001,CONT05212,Gate 3,Container Truck,7,61.9,25.6,Completed
TRK00072,DR03529,PR00006,CONT03467,Gate 3,Trailer,11,77.9,27.7,Completed
TRK00073,DR07096,PR00001,CONT08240,Gate 2,Container Truck,16,56.4,24.2,Completed
TRK00074,DR05444,PR00004,CONT06295,Gate 1,Container Truck,22,22.8,30.2,Completed
TRK00075,DR08272,PR00004,CONT01147,Gate 2,Trailer,13,45.6,20.4,Completed
TRK00076,DR09710,PR00004,CONT02858,Gate 4,Trailer,14,25.5,18.1,Completed
TRK00077,DR02096,PR00004,CONT01412,Gate 2,Tanker,17,58.9,21.5,Completed
TRK00078,DR09161,PR00005,CONT05684,Gate 3,Trailer,7,90.1,27.2,Completed
TRK00079,DR00753,PR00004,CONT07325,Gate 2,Trailer,15,60.5,23.1,Completed
TRK00080,DR09429,PR00001,CONT03701,Gate 1,Container Truck,15,60.1,34.9,Completed
TRK00081,DR08404,PR00003,CONT08041,Gate 5,Container Truck,8,71.5,14.3,Completed
TRK00082,DR03591,PR00004,CONT07974,Gate 2,Container Truck,19,78.5,13.7,Completed
TRK00083,DR04338,PR00002,CONT03861,Gate 4,Container Truck,17,32.9,19.6,Completed
TRK00084,DR02250,PR00005,CONT01327,Gate 3,Container Truck,8,85.1,26.9,Completed
TRK00085,DR08351,PR00002,CONT03607,Gate 5,Container Truck,8,82.1,22.9,Completed
TRK00086,DR08243,PR00006,CONT06228,Gate 3,Container Truck,12,79.7,42.4,Completed
TRK00087,DR07825,PR00001,CONT01073,Gate 5,Trailer,17,62.7,20.5,Completed
TRK00088,DR07940,PR00005,CONT02053,Gate 3,Trailer,16,80.9,25.2,Completed
TRK00089,DR07204,PR00001,CONT05205,Gate 2,Container Truck,21,42.7,26.2,Completed
TRK00090,DR02997,PR00003,CONT01608,Gate 1,Container Truck,13,31.6,35.5,Completed
TRK00091,DR02553,PR00002,CONT06219,Gate 3,Container Truck,17,97.8,14.1,Delayed
TRK00092,DR07126,PR00004,CONT03469,Gate 3,Tanker,9,96.7,33.6,Delayed
TRK00093,DR00718,PR00002,CONT07925,Gate 4,Container Truck,18,38.9,31.2,Completed
TRK00094,DR07863,PR00006,CONT03718,Gate 4,Container Truck,8,20.6,27.2,Completed
TRK00095,DR07747,PR00004,CONT08316,Gate 3,Container Truck,15,50.7,30.1,Completed
TRK00096,DR00711,PR00007,CONT02798,Gate 5,Container Truck,15,56.4,29.2,Completed
TRK00097,DR08512,PR00005,CONT03143,Gate 5,Container Truck,18,56.3,29.0,Completed
TRK00098,DR04877,PR00004,CONT04275,Gate 5,Trailer,12,39.6,14.0,Completed
TRK00099,DR05959,PR00006,CONT03882,Gate 1,Container Truck,12,49.5,13.5,Completed
TRK00100,DR04703,PR00002,CONT04851,Gate 1,Container Truck,18,46.3,30.2,Completed
TRK00101,DR05035,PR00004,CONT04716,Gate 3,Trailer,14,54.6,19.4,Completed
TRK00102,DR02737,PR00003,CONT03906,Gate 4,Tanker,8,44.1,22.4,Completed
TRK00103,DR05961,PR00005,CONT03227,Gate 5,Trailer,18,66.7,26.2,Completed
TRK00104,DR02144,PR00001,CONT09016,Gate 5,Tanker,19,44.4,17.3,Completed
TRK00105,DR04976,PR00003,CONT02848,Gate 3,Container Truck,12,57.1,31.9,Completed
TRK00106,DR09245,PR00004,CONT08031,Gate 1,Trailer,20,39.2,8.0,Completed
TRK00107,DR07766,PR00003,CONT02887,Gate 4,Container Truck,10,46.8,25.2,Completed
TRK00108,DR01817,PR00002,CONT05785,Gate 5,Container Truck,16,61.0,21.2,Completed
TRK00109,DR03170,PR00003,CONT07668,Gate 2,Trailer,15,48.2,22.9,Completed
TRK00110,DR02497,PR00006,CONT00068,Gate 2,Trailer,15,52.6,27.4,Cancelled
TRK00111,DR00699,PR00002,CONT08099,Gate 5,Trailer,21,33.9,23.8,Completed
TRK00112,DR07493,PR00003,CONT07309,Gate 5,Container Truck,11,63.0,23.8,Completed
TRK00113,DR01696,PR00007,CONT09317,Gate 4,Container Truck,21,25.5,30.9,Completed
TRK00114,DR08619,PR00007,CONT03901,Gate 4,Trailer,18,44.9,18.7,Completed
TRK00115,DR08524,PR00001,CONT07093,Gate 5,Trailer,10,58.0,32.6,Completed
TRK00116,DR02537,PR00003,CONT00627,Gate 3,Container Truck,22,71.8,30.5,Completed
TRK00117,DR03242,PR00001,CONT01623,Gate 2,Trailer,7,37.2,17.5,Completed
TRK00118,DR08541,PR00007,CONT04042,Gate 3,Trailer,22,68.8,18.7,Completed
TRK00119,DR04465,PR00003,CONT01574,Gate 5,Container Truck,9,63.4,25.2,Completed
TRK00120,DR03917,PR00003,CONT02554,Gate 5,Container Truck,14,29.1,21.4,Completed
TRK00121,DR08188,PR00002,CONT04568,Gate 5,Container Truck,15,63.6,25.4,Cancelled
TRK00122,DR09085,PR00004,CONT08588,Gate 5,Trailer,17,71.2,39.7,Cancelled
TRK00123,DR07378,PR00001,CONT00876,Gate 4,Trailer,14,43.9,20.7,Completed
TRK00124,DR01661,PR00006,CONT05140,Gate 2,Trailer,15,59.5,12.1,Completed
TRK00125,DR00903,PR00003,CONT07086,Gate 3,Container Truck,12,79.3,25.3,Completed
TRK00126,DR00248,PR00004,CONT04905,Gate 5,Trailer,21,70.9,24.9,Completed
TRK00127,DR03866,PR00006,CONT02787,Gate 5,Container Truck,7,36.8,28.7,Completed
TRK00128,DR01517,PR00001,CONT00435,Gate 5,Trailer,9,73.3,27.4,Completed
TRK00129,DR09886,PR00001,CONT06730,Gate 2,Container Truck,10,71.5,19.8,Completed
TRK00130,DR04221,PR00003,CONT03144,Gate 5,Container Truck,11,39.2,23.2,Completed
TRK00131,DR02956,PR00006,CONT09715,Gate 1,Trailer,14,43.0,16.8,Completed
TRK00132,DR07573,PR00001,CONT02732,Gate 4,Container Truck,7,40.5,21.7,Completed
TRK00133,DR08494,PR00006,CONT00705,Gate 2,Container Truck,13,69.5,12.6,Completed
TRK00134,DR09544,PR00003,CONT05083,Gate 5,Trailer,7,57.3,11.5,Completed
TRK00135,DR08865,PR00004,CONT08559,Gate 2,Trailer,20,79.6,20.9,Completed
TRK00136,DR01672,PR00004,CONT09380,Gate 2,Container Truck,11,73.4,23.9,Completed
TRK00137,DR08077,PR00001,CONT03307,Gate 1,Container Truck,19,38.1,10.8,Completed
TRK00138,DR01096,PR00002,CONT01504,Gate 1,Trailer,6,39.5,22.3,Completed
TRK00139,DR03569,PR00005,CONT06822,Gate 2,Container Truck,6,68.0,17.8,Completed
TRK00140,DR07929,PR00003,CONT05464,Gate 4,Container Truck,12,30.8,12.3,Completed
TRK00141,DR06741,PR00004,CONT07810,Gate 1,Trailer,8,47.9,17.6,Completed
TRK00142,DR06040,PR00007,CONT02719,Gate 3,Container Truck,14,53.5,29.8,Completed
TRK00143,DR04857,PR00001,CONT08016,Gate 4,Container Truck,7,36.9,24.9,Completed
TRK00144,DR03626,PR00003,CONT08287,Gate 2,Trailer,14,69.0,16.7,Completed
TRK00145,DR03386,PR00003,CONT08330,Gate 4,Container Truck,20,46.2,24.7,Completed
TRK00146,DR04087,PR00001,CONT02312,Gate 3,Container Truck,19,84.0,29.9,Completed
TRK00147,DR05637,PR00007,CONT04938,Gate 5,Tanker,18,58.8,17.9,Completed
TRK00148,DR01708,PR00007,CONT04102,Gate 1,Tanker,18,61.8,28.6,Completed
TRK00149,DR05164,PR00002,CONT05899,Gate 1,Trailer,9,75.5,8.0,Completed
TRK00150,DR02097,PR00007,CONT07322,Gate 5,Container Truck,17,56.9,12.1,Cancelled
TRK00151,DR00465,PR00001,CONT08626,Gate 5,Container Truck,18,72.6,31.1,Completed
TRK00152,DR09696,PR00007,CONT05258,Gate 1,Container Truck,21,31.3,33.1,Completed
TRK00153,DR04057,PR00006,CONT07106,Gate 2,Trailer,14,54.1,28.1,Completed
TRK00154,DR00721,PR00002,CONT06290,Gate 3,Trailer,6,56.8,14.8,Completed
TRK00155,DR08751,PR00004,CONT07455,Gate 4,Container Truck,16,42.2,18.1,Completed
TRK00156,DR02617,PR00006,CONT07112,Gate 4,Trailer,12,30.9,30.6,Cancelled
TRK00157,DR02917,PR00002,CONT08420,Gate 5,Trailer,6,35.4,8.0,Completed
TRK00158,DR05938,PR00002,CONT00547,Gate 1,Container Truck,10,63.3,26.2,Completed
TRK00159,DR01201,PR00004,CONT07867,Gate 1,Trailer,14,26.1,23.0,Completed
TRK00160,DR02709,PR00001,CONT08685,Gate 3,Container Truck,12,78.4,28.2,Completed
TRK00161,DR01252,PR00001,CONT07481,Gate 4,Trailer,18,45.5,24.5,Completed
TRK00162,DR05396,PR00002,CONT05442,Gate 4,Trailer,16,8.0,22.0,Cancelled
TRK00163,DR08957,PR00005,CONT03522,Gate 4,Container Truck,15,32.3,28.3,Completed
TRK00164,DR07255,PR00003,CONT09241,Gate 4,Trailer,21,28.0,23.9,Completed
TRK00165,DR01763,PR00003,CONT08137,Gate 2,Container Truck,19,51.8,25.5,Completed
TRK00166,DR04702,PR00001,CONT05427,Gate 3,Container Truck,10,88.1,16.7,Completed
TRK00167,DR05185,PR00001,CONT07244,Gate 5,Container Truck,13,49.8,22.7,Completed
TRK00168,DR08391,PR00004,CONT03701,Gate 5,Container Truck,6,53.9,15.5,Completed
TRK00169,DR00758,PR00001,CONT08107,Gate 5,Container Truck,18,52.9,24.4,Completed
TRK00170,DR02071,PR00004,CONT01974,Gate 4,Tanker,6,39.4,18.6,Completed
TRK00171,DR09164,PR00003,CONT06900,Gate 2,Container Truck,22,51.9,30.2,Completed
TRK00172,DR00029,PR00005,CONT05438,Gate 3,Container Truck,21,85.3,14.6,Completed
TRK00173,DR01091,PR00003,CONT03835,Gate 4,Container Truck,21,37.4,15.6,Completed
TRK00174,DR05786,PR00006,CONT09122,Gate 2,Trailer,8,61.9,17.0,Completed
TRK00175,DR01926,PR00001,CONT08047,Gate 1,Tanker,8,59.2,28.1,Cancelled
TRK00176,DR03320,PR00006,CONT04160,Gate 2,Trailer,14,60.8,22.5,Completed
TRK00177,DR04751,PR00002,CONT05972,Gate 2,Container Truck,8,77.5,22.5,Completed
TRK00178,DR08285,PR00001,CONT01210,Gate 5,Container Truck,18,47.1,26.5,Completed
TRK00179,DR05672,PR00004,CONT05744,Gate 1,Container Truck,19,27.9,19.7,Completed
TRK00180,DR08780,PR00002,CONT00196,Gate 5,Trailer,16,51.4,21.8,Completed
TRK00181,DR03473,PR00003,CONT06503,Gate 2,Container Truck,9,60.6,29.7,Cancelled
TRK00182,DR07312,PR00006,CONT04398,Gate 2,Container Truck,9,76.8,28.2,Completed
TRK00183,DR00333,PR00006,CONT05503,Gate 3,Trailer,18,89.6,33.5,Completed
TRK00184,DR03290,PR00004,CONT09113,Gate 5,Trailer,19,49.8,22.9,Completed
TRK00185,DR00144,PR00007,CONT02604,Gate 4,Container Truck,14,50.6,20.9,Completed
TRK00186,DR06374,PR00003,CONT01190,Gate 3,Tanker,16,73.3,30.1,Completed
TRK00187,DR07408,PR00001,CONT06931,Gate 1,Trailer,13,35.5,16.8,Completed
TRK00188,DR07877,PR00006,CONT06894,Gate 4,Container Truck,7,43.8,22.8,Completed
TRK00189,DR04855,PR00002,CONT07698,Gate 4,Trailer,9,51.7,16.0,Cancelled
TRK00190,DR01229,PR00001,CONT06987,Gate 3,Container Truck,22,68.1,37.1,Completed
TRK00191,DR05738,PR00001,CONT08806,Gate 1,Trailer,22,25.7,16.7,Completed
TRK00192,DR07220,PR00002,CONT05120,Gate 1,Container Truck,12,26.9,17.3,Completed
TRK00193,DR02314,PR00002,CONT00833,Gate 1,Trailer,16,39.8,23.2,Completed
TRK00194,DR04199,PR00002,CONT08334,Gate 3,Container Truck,8,89.3,15.8,Cancelled
TRK00195,DR02215,PR00004,CONT06679,Gate 2,Container Truck,10,46.3,23.2,Completed
TRK00196,DR09491,PR00005,CONT09355,Gate 4,Container Truck,17,42.6,10.4,Completed
TRK00197,DR09662,PR00007,CONT08502,Gate 3,Container Truck,20,78.0,32.4,Completed
TRK00198,DR07831,PR00001,CONT00854,Gate 3,Trailer,17,91.5,26.0,Completed
TRK00199,DR00597,PR00001,CONT01470,Gate 4,Container Truck,20,14.9,13.4,Completed
TRK00200,DR02899,PR00004,CONT07351,Gate 5,Container Truck,9,63.3,8.3,Completed
TRK00201,DR05913,PR00001,CONT01480,Gate 1,Tanker,9,41.4,23.9,Completed
TRK00202,DR02275,PR00003,CONT01668,Gate 5,Container Truck,13,53.0,12.9,Completed
TRK00203,DR02733,PR00004,CONT01104,Gate 1,Container Truck,21,71.1,12.9,Completed
TRK00204,DR05703,PR00006,CONT03229,Gate 4,Container Truck,20,61.1,24.7,Completed
TRK00205,DR01521,PR00002,CONT09468,Gate 5,Container Truck,19,62.8,18.1,Completed
TRK00206,DR04004,PR00004,CONT00914,Gate 5,Container Truck,12,31.6,12.2,Completed
TRK00207,DR00570,PR00004,CONT07433,Gate 1,Container Truck,8,43.1,22.9,Completed
TRK00208,DR03217,PR00006,CONT09973,Gate 2,Container Truck,14,72.6,25.1,Completed
TRK00209,DR03589,PR00002,CONT02078,Gate 4,Container Truck,14,28.1,29.7,Completed
TRK00210,DR05217,PR00005,CONT04990,Gate 1,Container Truck,15,27.2,23.5,Completed
TRK00211,DR00063,PR00005,CONT05394,Gate 4,Container Truck,7,32.5,15.6,Completed
TRK00212,DR05002,PR00002,CONT00608,Gate 3,Container Truck,10,77.6,32.9,Completed
TRK00213,DR00370,PR00004,CONT05127,Gate 2,Trailer,8,83.9,18.2,Completed
TRK00214,DR04471,PR00005,CONT07126,Gate 3,Container Truck,8,69.4,25.4,Cancelled
TRK00215,DR05560,PR00002,CONT08116,Gate 1,Trailer,17,41.1,11.0,Completed
TRK00216,DR04675,PR00003,CONT04585,Gate 2,Trailer,18,75.3,13.1,Completed
TRK00217,DR06642,PR00003,CONT05915,Gate 2,Container Truck,14,63.3,25.1,Completed
TRK00218,DR08907,PR00005,CONT01932,Gate 4,Container Truck,14,34.0,32.8,Completed
TRK00219,DR09450,PR00001,CONT04302,Gate 5,Trailer,14,52.5,30.5,Completed
TRK00220,DR04078,PR00003,CONT06452,Gate 5,Container Truck,16,75.1,18.5,Cancelled
TRK00221,DR00497,PR00001,CONT04864,Gate 3,Container Truck,11,71.4,24.0,Completed
TRK00222,DR07471,PR00004,CONT05600,Gate 2,Container Truck,8,65.8,40.7,Completed
TRK00223,DR06756,PR00005,CONT07115,Gate 2,Trailer,13,75.7,15.1,Completed
TRK00224,DR00719,PR00003,CONT00009,Gate 1,Trailer,7,34.1,23.5,Completed
TRK00225,DR08564,PR00004,CONT07993,Gate 1,Tanker,9,63.0,30.1,Completed
TRK00226,DR03293,PR00002,CONT07215,Gate 5,Trailer,17,64.6,18.4,Completed
TRK00227,DR05340,PR00002,CONT08547,Gate 5,Container Truck,21,32.2,22.9,Completed
TRK00228,DR03243,PR00005,CONT03862,Gate 5,Trailer,11,52.7,18.7,Completed
TRK00229,DR06929,PR00001,CONT01361,Gate 5,Container Truck,22,51.3,33.9,Completed
TRK00230,DR02186,PR00005,CONT01716,Gate 4,Container Truck,13,13.6,19.6,Completed
TRK00231,DR04274,PR00004,CONT01785,Gate 1,Container Truck,6,41.4,24.4,Completed
TRK00232,DR01089,PR00006,CONT01901,Gate 3,Container Truck,11,70.8,32.6,Cancelled
TRK00233,DR05977,PR00002,CONT04414,Gate 4,Container Truck,11,31.9,21.1,Completed
TRK00234,DR06160,PR00003,CONT09322,Gate 5,Container Truck,13,105.9,11.9,Delayed
TRK00235,DR06537,PR00001,CONT04808,Gate 1,Container Truck,9,65.8,11.5,Completed
TRK00236,DR05716,PR00007,CONT05711,Gate 5,Tanker,8,72.0,24.9,Completed
TRK00237,DR01219,PR00005,CONT03377,Gate 1,Trailer,22,23.2,26.6,Completed
TRK00238,DR05985,PR00004,CONT07798,Gate 3,Container Truck,16,55.0,29.0,Completed
TRK00239,DR06604,PR00005,CONT00776,Gate 3,Trailer,21,77.7,32.6,Completed
TRK00240,DR07057,PR00002,CONT05861,Gate 3,Trailer,12,42.5,21.2,Completed
TRK00241,DR02925,PR00004,CONT01090,Gate 3,Container Truck,20,69.9,23.9,Completed
TRK00242,DR04517,PR00006,CONT08017,Gate 4,Container Truck,12,22.2,16.5,Cancelled
TRK00243,DR09470,PR00001,CONT03422,Gate 1,Tanker,22,35.2,9.9,Completed
TRK00244,DR08762,PR00007,CONT02065,Gate 4,Container Truck,15,44.8,20.5,Completed
TRK00245,DR07945,PR00006,CONT00850,Gate 3,Container Truck,16,87.1,37.0,Completed
TRK00246,DR03519,PR00007,CONT02326,Gate 4,Container Truck,9,49.5,23.3,Completed
TRK00247,DR06504,PR00006,CONT01605,Gate 2,Tanker,19,55.5,8.0,Completed
TRK00248,DR08455,PR00002,CONT01617,Gate 5,Tanker,7,38.1,34.6,Completed
TRK00249,DR06471,PR00004,CONT00062,Gate 3,Container Truck,12,83.8,38.3,Completed
TRK00250,DR03711,PR00001,CONT09869,Gate 2,Container Truck,22,67.8,30.9,Completed
TRK00251,DR01217,PR00005,CONT09999,Gate 2,Container Truck,20,81.9,17.6,Completed
TRK00252,DR07761,PR00001,CONT03207,Gate 4,Trailer,15,20.5,22.4,Completed
TRK00253,DR08675,PR00006,CONT09136,Gate 2,Trailer,14,54.5,31.7,Completed
TRK00254,DR09638,PR00002,CONT06258,Gate 4,Container Truck,21,46.2,13.7,Completed
TRK00255,DR01165,PR00001,CONT08808,Gate 5,Container Truck,13,60.2,20.1,Completed
TRK00256,DR07359,PR00001,CONT08524,Gate 2,Trailer,8,79.2,24.1,Completed
TRK00257,DR08365,PR00005,CONT03049,Gate 5,Container Truck,14,56.1,21.1,Completed
TRK00258,DR01570,PR00001,CONT08698,Gate 4,Container Truck,6,24.2,24.2,Completed
TRK00259,DR06557,PR00001,CONT01402,Gate 5,Trailer,13,57.4,19.4,Completed
TRK00260,DR06652,PR00001,CONT02945,Gate 5,Container Truck,12,52.5,33.0,Completed
TRK00261,DR06525,PR00002,CONT02330,Gate 5,Container Truck,17,53.9,20.2,Completed
TRK00262,DR04961,PR00007,CONT03495,Gate 5,Container Truck,9,53.2,24.3,Completed
TRK00263,DR08029,PR00003,CONT03077,Gate 2,Trailer,10,71.4,18.0,Completed
TRK00264,DR07986,PR00002,CONT04653,Gate 1,Trailer,14,39.8,11.7,Completed
TRK00265,DR02668,PR00001,CONT03324,Gate 1,Container Truck,19,46.3,21.3,Completed
TRK00266,DR09489,PR00001,CONT05531,Gate 3,Trailer,21,70.3,34.6,Completed
TRK00267,DR00157,PR00003,CONT08069,Gate 5,Container Truck,20,54.2,24.4,Completed
TRK00268,DR07294,PR00001,CONT06345,Gate 2,Tanker,17,74.0,27.2,Completed
TRK00269,DR01717,PR00001,CONT09099,Gate 1,Trailer,11,54.3,19.8,Completed
TRK00270,DR01235,PR00001,CONT05440,Gate 1,Container Truck,22,45.1,19.4,Completed
TRK00271,DR06105,PR00002,CONT03654,Gate 4,Container Truck,22,12.5,26.0,Completed
TRK00272,DR03298,PR00005,CONT04343,Gate 3,Trailer,13,59.8,26.3,Completed
TRK00273,DR06686,PR00001,CONT05618,Gate 2,Container Truck,17,59.3,20.3,Completed
TRK00274,DR01049,PR00005,CONT05334,Gate 3,Trailer,8,63.5,25.6,Completed
TRK00275,DR09249,PR00004,CONT03073,Gate 2,Container Truck,22,75.5,34.5,Completed
TRK00276,DR01116,PR00006,CONT04560,Gate 5,Tanker,15,52.7,31.6,Completed
TRK00277,DR07510,PR00001,CONT00053,Gate 4,Container Truck,7,24.7,25.0,Completed
TRK00278,DR05827,PR00006,CONT08436,Gate 1,Tanker,7,33.1,17.5,Completed
TRK00279,DR07468,PR00006,CONT05569,Gate 2,Trailer,22,41.9,30.1,Completed
TRK00280,DR04474,PR00007,CONT02021,Gate 3,Container Truck,17,59.8,22.1,Completed
TRK00281,DR04394,PR00006,CONT07039,Gate 2,Container Truck,17,74.1,30.7,Completed
TRK00282,DR07753,PR00001,CONT02785,Gate 2,Trailer,9,96.7,14.5,Delayed
TRK00283,DR01600,PR00007,CONT08569,Gate 2,Container Truck,8,78.2,18.9,Completed
TRK00284,DR02442,PR00006,CONT01167,Gate 5,Trailer,19,60.9,18.1,Completed
TRK00285,DR06255,PR00002,CONT04079,Gate 3,Tanker,15,61.5,32.5,Completed
TRK00286,DR02673,PR00001,CONT08986,Gate 1,Tanker,13,38.0,34.0,Completed
TRK00287,DR01853,PR00007,CONT00991,Gate 5,Trailer,22,27.2,24.0,Completed
TRK00288,DR06811,PR00001,CONT04003,Gate 3,Container Truck,19,78.7,34.2,Completed
TRK00289,DR09032,PR00005,CONT09081,Gate 5,Container Truck,15,46.9,29.0,Completed
