Ship_Record_ID,Ship_ID,Ship_Name,Shipping_Line,Ship_Type,TEU_Capacity,Flag
SR00031,SHP00031,Vessel-00031,Maersk,Panamax,3000,India
SR00032,SHP00032,Vessel-00032,MSC,Post-Panamax,4500,Singapore
SR00033,SHP00033,Vessel-00033,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00034,SHP00034,Vessel-00034,Hapag-Lloyd,Panamax,8500,Panama
SR00035,SHP00035,Vessel-00035,Evergreen,Post-Panamax,12000,Malta
SR00036,SHP00036,Vessel-00036,ONE,Ultra Large Container Vessel,3000,India
SR00037,SHP00037,Vessel-00037,Maersk,Panamax,4500,Singapore
SR00038,SHP00038,Vessel-00038,MSC,Post-Panamax,6500,Liberia
SR00039,SHP00039,Vessel-00039,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00040,SHP00040,Vessel-00040,Hapag-Lloyd,Panamax,12000,Malta
SR00041,SHP00041,Vessel-00041,Evergreen,Post-Panamax,3000,India
SR00042,SHP00042,Vessel-00042,ONE,Ultra Large Container Vessel,4500,Singapore
SR00043,SHP00043,Vessel-00043,Maersk,Panamax,6500,Liberia
SR00044,SHP00044,Vessel-00044,MSC,Post-Panamax,8500,Panama
SR00045,SHP00045,Vessel-00045,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00046,SHP00046,Vessel-00046,Hapag-Lloyd,Panamax,3000,India
SR00047,SHP00047,Vessel-00047,Evergreen,Post-Panamax,4500,Singapore
SR00048,SHP00048,Vessel-00048,ONE,Ultra Large Container Vessel,6500,Liberia
SR00049,SHP00049,Vessel-00049,Maersk,Panamax,8500,Panama
SR00050,SHP00050,Vessel-00050,MSC,Post-Panamax,12000,Malta
SR00051,SHP00051,Vessel-00051,CMA CGM,Ultra Large Container Vessel,3000,India
SR00052,SHP00052,Vessel-00052,Hapag-Lloyd,Panamax,4500,Singapore
SR00053,SHP00053,Vessel-00053,Evergreen,Post-Panamax,6500,Liberia
SR00054,SHP00054,Vessel-00054,ONE,Ultra Large Container Vessel,8500,Panama
SR00055,SHP00055,Vessel-00055,Maersk,Panamax,12000,Malta
SR00056,SHP00056,Vessel-00056,MSC,Post-Panamax,3000,India
SR00057,SHP00057,Vessel-00057,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00058,SHP00058,Vessel-00058,Hapag-Lloyd,Panamax,6500,Liberia
SR00059,SHP00059,Vessel-00059,Evergreen,Post-Panamax,8500,Panama
SR00060,SHP00060,Vessel-00060,ONE,Ultra Large Container Vessel,12000,Malta
SR00061,SHP00061,Vessel-00061,Maersk,Panamax,3000,India
SR00062,SHP00062,Vessel-00062,MSC,Post-Panamax,4500,Singapore
SR00063,SHP00063,Vessel-00063,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00064,SHP00064,Vessel-00064,Hapag-Lloyd,Panamax,8500,Panama
SR00065,SHP00065,Vessel-00065,Evergreen,Post-Panamax,12000,Malta
SR00066,SHP00066,Vessel-00066,ONE,Ultra Large Container Vessel,3000,India
SR00067,SHP00067,Vessel-00067,Maersk,Panamax,4500,Singapore
SR00068,SHP00068,Vessel-00068,MSC,Post-Panamax,6500,Liberia
SR00069,SHP00069,Vessel-00069,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00070,SHP00070,Vessel-00070,Hapag-Lloyd,Panamax,12000,Malta
SR00071,SHP00071,Vessel-00071,Evergreen,Post-Panamax,3000,India
SR00072,SHP00072,Vessel-00072,ONE,Ultra Large Container Vessel,4500,Singapore
SR00073,SHP00073,Vessel-00073,Maersk,Panamax,6500,Liberia
SR00074,SHP00074,Vessel-00074,MSC,Post-Panamax,8500,Panama
SR00075,SHP00075,Vessel-00075,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00076,SHP00076,Vessel-00076,Hapag-Lloyd,Panamax,3000,India
SR00077,SHP00077,Vessel-00077,Evergreen,Post-Panamax,4500,Singapore
SR00078,SHP00078,Vessel-00078,ONE,Ultra Large Container Vessel,6500,Liberia
SR00079,SHP00079,Vessel-00079,Maersk,Panamax,8500,Panama
SR00080,SHP00080,Vessel-00080,MSC,Post-Panamax,12000,Malta
SR00081,SHP00081,Vessel-00081,CMA CGM,Ultra Large Container Vessel,3000,India
SR00082,SHP00082,Vessel-00082,Hapag-Lloyd,Panamax,4500,Singapore
SR00083,SHP00083,Vessel-00083,Evergreen,Post-Panamax,6500,Liberia
SR00084,SHP00084,Vessel-00084,ONE,Ultra Large Container Vessel,8500,Panama
SR00085,SHP00085,Vessel-00085,Maersk,Panamax,12000,Malta
SR00086,SHP00086,Vessel-00086,MSC,Post-Panamax,3000,India
SR00087,SHP00087,Vessel-00087,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00088,SHP00088,Vessel-00088,Hapag-Lloyd,Panamax,6500,Liberia
SR00089,SHP00089,Vessel-00089,Evergreen,Post-Panamax,8500,Panama
SR00090,SHP00090,Vessel-00090,ONE,Ultra Large Container Vessel,12000,Malta
SR00091,SHP00091,Vessel-00091,Maersk,Panamax,3000,India
SR00092,SHP00092,Vessel-00092,MSC,Post-Panamax,4500,Singapore
SR00093,SHP00093,Vessel-00093,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00094,SHP00094,Vessel-00094,Hapag-Lloyd,Panamax,8500,Panama
SR00095,SHP00095,Vessel-00095,Evergreen,Post-Panamax,12000,Malta
SR00096,SHP00096,Vessel-00096,ONE,Ultra Large Container Vessel,3000,India
SR00097,SHP00097,Vessel-00097,Maersk,Panamax,4500,Singapore
SR00098,SHP00098,Vessel-00098,MSC,Post-Panamax,6500,Liberia
SR00099,SHP00099,Vessel-00099,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00100,SHP00100,Vessel-00100,Hapag-Lloyd,Panamax,12000,Malta
SR00101,SHP00101,Vessel-00101,Evergreen,Post-Panamax,3000,India
SR00102,SHP00102,Vessel-00102,ONE,Ultra Large Container Vessel,4500,Singapore
SR00103,SHP00103,Vessel-00103,Maersk,Panamax,6500,Liberia
SR00104,SHP00104,Vessel-00104,MSC,Post-Panamax,8500,Panama
SR00105,SHP00105,Vessel-00105,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00106,SHP00106,Vessel-00106,Hapag-Lloyd,Panamax,3000,India
SR00107,SHP00107,Vessel-00107,Evergreen,Post-Panamax,4500,Singapore
SR00108,SHP00108,Vessel-00108,ONE,Ultra Large Container Vessel,6500,Liberia
SR00109,SHP00109,Vessel-00109,Maersk,Panamax,8500,Panama
SR00110,SHP00110,Vessel-00110,MSC,Post-Panamax,12000,Malta
SR00111,SHP00111,Vessel-00111,CMA CGM,Ultra Large Container Vessel,3000,India
SR00112,SHP00112,Vessel-00112,Hapag-Lloyd,Panamax,4500,Singapore
SR00113,SHP00113,Vessel-00113,Evergreen,Post-Panamax,6500,Liberia
SR00114,SHP00114,Vessel-00114,ONE,Ultra Large Container Vessel,8500,Panama
SR00115,SHP00115,Vessel-00115,Maersk,Panamax,12000,Malta
SR00116,SHP00116,Vessel-00116,MSC,Post-Panamax,3000,India
SR00117,SHP00117,Vessel-00117,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00118,SHP00118,Vessel-00118,Hapag-Lloyd,Panamax,6500,Liberia
SR00119,SHP00119,Vessel-00119,Evergreen,Post-Panamax,8500,Panama
SR00120,SHP00120,Vessel-00120,ONE,Ultra Large Container Vessel,12000,Malta
SR00121,SHP00121,Vessel-00121,Maersk,Panamax,3000,India
SR00122,SHP00122,Vessel-00122,MSC,Post-Panamax,4500,Singapore
SR00123,SHP00123,Vessel-00123,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00124,SHP00124,Vessel-00124,Hapag-Lloyd,Panamax,8500,Panama
SR00125,SHP00125,Vessel-00125,Evergreen,Post-Panamax,12000,Malta
SR00126,SHP00126,Vessel-00126,ONE,Ultra Large Container Vessel,3000,India
SR00127,SHP00127,Vessel-00127,Maersk,Panamax,4500,Singapore
SR00128,SHP00128,Vessel-00128,MSC,Post-Panamax,6500,Liberia
SR00129,SHP00129,Vessel-00129,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00130,SHP00130,Vessel-00130,Hapag-Lloyd,Panamax,12000,Malta
SR00131,SHP00131,Vessel-00131,Evergreen,Post-Panamax,3000,India
SR00132,SHP00132,Vessel-00132,ONE,Ultra Large Container Vessel,4500,Singapore
SR00133,SHP00133,Vessel-00133,Maersk,Panamax,6500,Liberia
SR00134,SHP00134,Vessel-00134,MSC,Post-Panamax,8500,Panama
SR00135,SHP00135,Vessel-00135,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00136,SHP00136,Vessel-00136,Hapag-Lloyd,Panamax,3000,India
SR00137,SHP00137,Vessel-00137,Evergreen,Post-Panamax,4500,Singapore
SR00138,SHP00138,Vessel-00138,ONE,Ultra Large Container Vessel,6500,Liberia
SR00139,SHP00139,Vessel-00139,Maersk,Panamax,8500,Panama
SR00140,SHP00140,Vessel-00140,MSC,Post-Panamax,12000,Malta
SR00141,SHP00141,Vessel-00141,CMA CGM,Ultra Large Container Vessel,3000,India
SR00142,SHP00142,Vessel-00142,Hapag-Lloyd,Panamax,4500,Singapore
SR00143,SHP00143,Vessel-00143,Evergreen,Post-Panamax,6500,Liberia
SR00144,SHP00144,Vessel-00144,ONE,Ultra Large Container Vessel,8500,Panama
SR00145,SHP00145,Vessel-00145,Maersk,Panamax,12000,Malta
SR00146,SHP00146,Vessel-00146,MSC,Post-Panamax,3000,India
SR00147,SHP00147,Vessel-00147,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00148,SHP00148,Vessel-00148,Hapag-Lloyd,Panamax,6500,Liberia
SR00149,SHP00149,Vessel-00149,Evergreen,Post-Panamax,8500,Panama
SR00150,SHP00150,Vessel-00150,ONE,Ultra Large Container Vessel,12000,Malta
SR00151,SHP00151,Vessel-00151,Maersk,Panamax,3000,India
SR00152,SHP00152,Vessel-00152,MSC,Post-Panamax,4500,Singapore
SR00153,SHP00153,Vessel-00153,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00154,SHP00154,Vessel-00154,Hapag-Lloyd,Panamax,8500,Panama
SR00155,SHP00155,Vessel-00155,Evergreen,Post-Panamax,12000,Malta
SR00156,SHP00156,Vessel-00156,ONE,Ultra Large Container Vessel,3000,India
SR00157,SHP00157,Vessel-00157,Maersk,Panamax,4500,Singapore
SR00158,SHP00158,Vessel-00158,MSC,Post-Panamax,6500,Liberia
SR00159,SHP00159,Vessel-00159,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00160,SHP00160,Vessel-00160,Hapag-Lloyd,Panamax,12000,Malta
SR00161,SHP00161,Vessel-00161,Evergreen,Post-Panamax,3000,India
SR00162,SHP00162,Vessel-00162,ONE,Ultra Large Container Vessel,4500,Singapore
SR00163,SHP00163,Vessel-00163,Maersk,Panamax,6500,Liberia
SR00164,SHP00164,Vessel-00164,MSC,Post-Panamax,8500,Panama
SR00165,SHP00165,Vessel-00165,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00166,SHP00166,Vessel-00166,Hapag-Lloyd,Panamax,3000,India
SR00167,SHP00167,Vessel-00167,Evergreen,Post-Panamax,4500,Singapore
SR00168,SHP00168,Vessel-00168,ONE,Ultra Large Container Vessel,6500,Liberia
SR00169,SHP00169,Vessel-00169,Maersk,Panamax,8500,Panama
SR00170,SHP00170,Vessel-00170,MSC,Post-Panamax,12000,Malta
SR00171,SHP00171,Vessel-00171,CMA CGM,Ultra Large Container Vessel,3000,India
SR00172,SHP00172,Vessel-00172,Hapag-Lloyd,Panamax,4500,Singapore
SR00173,SHP00173,Vessel-00173,Evergreen,Post-Panamax,6500,Liberia
SR00174,SHP00174,Vessel-00174,ONE,Ultra Large Container Vessel,8500,Panama
SR00175,SHP00175,Vessel-00175,Maersk,Panamax,12000,Malta
SR00176,SHP00176,Vessel-00176,MSC,Post-Panamax,3000,India
SR00177,SHP00177,Vessel-00177,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00178,SHP00178,Vessel-00178,Hapag-Lloyd,Panamax,6500,Liberia
SR00179,SHP00179,Vessel-00179,Evergreen,Post-Panamax,8500,Panama
SR00180,SHP00180,Vessel-00180,ONE,Ultra Large Container Vessel,12000,Malta
SR00181,SHP00181,Vessel-00181,Maersk,Panamax,3000,India
SR00182,SHP00182,Vessel-00182,MSC,Post-Panamax,4500,Singapore
SR00183,SHP00183,Vessel-00183,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00184,SHP00184,Vessel-00184,Hapag-Lloyd,Panamax,8500,Panama
SR00185,SHP00185,Vessel-00185,Evergreen,Post-Panamax,12000,Malta
SR00186,SHP00186,Vessel-00186,ONE,Ultra Large Container Vessel,3000,India
SR00187,SHP00187,Vessel-00187,Maersk,Panamax,4500,Singapore
SR00188,SHP00188,Vessel-00188,MSC,Post-Panamax,6500,Liberia
SR00189,SHP00189,Vessel-00189,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00190,SHP00190,Vessel-00190,Hapag-Lloyd,Panamax,12000,Malta
SR00191,SHP00191,Vessel-00191,Evergreen,Post-Panamax,3000,India
SR00192,SHP00192,Vessel-00192,ONE,Ultra Large Container Vessel,4500,Singapore
SR00193,SHP00193,Vessel-00193,Maersk,Panamax,6500,Liberia
SR00194,SHP00194,Vessel-00194,MSC,Post-Panamax,8500,Panama
SR00195,SHP00195,Vessel-00195,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00196,SHP00196,Vessel-00196,Hapag-Lloyd,Panamax,3000,India
SR00197,SHP00197,Vessel-00197,Evergreen,Post-Panamax,4500,Singapore
SR00198,SHP00198,Vessel-00198,ONE,Ultra Large Container Vessel,6500,Liberia
SR00199,SHP00199,Vessel-00199,Maersk,Panamax,8500,Panama
SR00200,SHP00200,Vessel-00200,MSC,Post-Panamax,12000,Malta
SR00201,SHP00201,Vessel-00201,CMA CGM,Ultra Large Container Vessel,3000,India
SR00202,SHP00202,Vessel-00202,Hapag-Lloyd,Panamax,4500,Singapore
SR00203,SHP00203,Vessel-00203,Evergreen,Post-Panamax,6500,Liberia
SR00204,SHP00204,Vessel-00204,ONE,Ultra Large Container Vessel,8500,Panama
SR00205,SHP00205,Vessel-00205,Maersk,Panamax,12000,Malta
SR00206,SHP00206,Vessel-00206,MSC,Post-Panamax,3000,India
SR00207,SHP00207,Vessel-00207,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00208,SHP00208,Vessel-00208,Hapag-Lloyd,Panamax,6500,Liberia
SR00209,SHP00209,Vessel-00209,Evergreen,Post-Panamax,8500,Panama
SR00210,SHP00210,Vessel-00210,ONE,Ultra Large Container Vessel,12000,Malta
SR00211,SHP00211,Vessel-00211,Maersk,Panamax,3000,India
SR00212,SHP00212,Vessel-00212,MSC,Post-Panamax,4500,Singapore
SR00213,SHP00213,Vessel-00213,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00214,SHP00214,Vessel-00214,Hapag-Lloyd,Panamax,8500,Panama
SR00215,SHP00215,Vessel-00215,Evergreen,Post-Panamax,12000,Malta
SR00216,SHP00216,Vessel-00216,ONE,Ultra Large Container Vessel,3000,India
SR00217,SHP00217,Vessel-00217,Maersk,Panamax,4500,Singapore
SR00218,SHP00218,Vessel-00218,MSC,Post-Panamax,6500,Liberia
SR00219,SHP00219,Vessel-00219,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00220,SHP00220,Vessel-00220,Hapag-Lloyd,Panamax,12000,Malta
SR00221,SHP00221,Vessel-00221,Evergreen,Post-Panamax,3000,India
SR00222,SHP00222,Vessel-00222,ONE,Ultra Large Container Vessel,4500,Singapore
SR00223,SHP00223,Vessel-00223,Maersk,Panamax,6500,Liberia
SR00224,SHP00224,Vessel-00224,MSC,Post-Panamax,8500,Panama
SR00225,SHP00225,Vessel-00225,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00226,SHP00226,Vessel-00226,Hapag-Lloyd,Panamax,3000,India
SR00227,SHP00227,Vessel-00227,Evergreen,Post-Panamax,4500,Singapore
SR00228,SHP00228,Vessel-00228,ONE,Ultra Large Container Vessel,6500,Liberia
SR00229,SHP00229,Vessel-00229,Maersk,Panamax,8500,Panama
SR00230,SHP00230,Vessel-00230,MSC,Post-Panamax,12000,Malta
SR00231,SHP00231,Vessel-00231,CMA CGM,Ultra Large Container Vessel,3000,India
SR00232,SHP00232,Vessel-00232,Hapag-Lloyd,Panamax,4500,Singapore
SR00233,SHP00233,Vessel-00233,Evergreen,Post-Panamax,6500,Liberia
SR00234,SHP00234,Vessel-00234,ONE,Ultra Large Container Vessel,8500,Panama
SR00235,SHP00235,Vessel-00235,Maersk,Panamax,12000,Malta
SR00236,SHP00236,Vessel-00236,MSC,Post-Panamax,3000,India
SR00237,SHP00237,Vessel-00237,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00238,SHP00238,Vessel-00238,Hapag-Lloyd,Panamax,6500,Liberia
SR00239,SHP00239,Vessel-00239,Evergreen,Post-Panamax,8500,Panama
SR00240,SHP00240,Vessel-00240,ONE,Ultra Large Container Vessel,12000,Malta
SR00241,SHP00241,Vessel-00241,Maersk,Panamax,3000,India
SR00242,SHP00242,Vessel-00242,MSC,Post-Panamax,4500,Singapore
SR00243,SHP00243,Vessel-00243,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00244,SHP00244,Vessel-00244,Hapag-Lloyd,Panamax,8500,Panama
SR00245,SHP00245,Vessel-00245,Evergreen,Post-Panamax,12000,Malta
SR00246,SHP00246,Vessel-00246,ONE,Ultra Large Container Vessel,3000,India
SR00247,SHP00247,Vessel-00247,Maersk,Panamax,4500,Singapore
SR00248,SHP00248,Vessel-00248,MSC,Post-Panamax,6500,Liberia
SR00249,SHP00249,Vessel-00249,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00250,SHP00250,Vessel-00250,Hapag-Lloyd,Panamax,12000,Malta
SR00251,SHP00251,Vessel-00251,Evergreen,Post-Panamax,3000,India
SR00252,SHP00252,Vessel-00252,ONE,Ultra Large Container Vessel,4500,Singapore
SR00253,SHP00253,Vessel-00253,Maersk,Panamax,6500,Liberia
SR00254,SHP00254,Vessel-00254,MSC,Post-Panamax,8500,Panama
SR00255,SHP00255,Vessel-00255,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00256,SHP00256,Vessel-00256,Hapag-Lloyd,Panamax,3000,India
SR00257,SHP00257,Vessel-00257,Evergreen,Post-Panamax,4500,Singapore
SR00258,SHP00258,Vessel-00258,ONE,Ultra Large Container Vessel,6500,Liberia
SR00259,SHP00259,Vessel-00259,Maersk,Panamax,8500,Panama
SR00260,SHP00260,Vessel-00260,MSC,Post-Panamax,12000,Malta
SR00261,SHP00261,Vessel-00261,CMA CGM,Ultra Large Container Vessel,3000,India
SR00262,SHP00262,Vessel-00262,Hapag-Lloyd,Panamax,4500,Singapore
SR00263,SHP00263,Vessel-00263,Evergreen,Post-Panamax,6500,Liberia
SR00264,SHP00264,Vessel-00264,ONE,Ultra Large Container Vessel,8500,Panama
SR00265,SHP00265,Vessel-00265,Maersk,Panamax,12000,Malta
SR00266,SHP00266,Vessel-00266,MSC,Post-Panamax,3000,India
SR00267,SHP00267,Vessel-00267,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00268,SHP00268,Vessel-00268,Hapag-Lloyd,Panamax,6500,Liberia
SR00269,SHP00269,Vessel-00269,Evergreen,Post-Panamax,8500,Panama
SR00270,SHP00270,Vessel-00270,ONE,Ultra Large Container Vessel,12000,Malta
SR00271,SHP00271,Vessel-00271,Maersk,Panamax,3000,India
SR00272,SHP00272,Vessel-00272,MSC,Post-Panamax,4500,Singapore
SR00273,SHP00273,Vessel-00273,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00274,SHP00274,Vessel-00274,Hapag-Lloyd,Panamax,8500,Panama
SR00275,SHP00275,Vessel-00275,Evergreen,Post-Panamax,12000,Malta
SR00276,SHP00276,Vessel-00276,ONE,Ultra Large Container Vessel,3000,India
SR00277,SHP00277,Vessel-00277,Maersk,Panamax,4500,Singapore
SR00278,SHP00278,Vessel-00278,MSC,Post-Panamax,6500,Liberia
SR00279,SHP00279,Vessel-00279,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00280,SHP00280,Vessel-00280,Hapag-Lloyd,Panamax,12000,Malta
SR00281,SHP00281,Vessel-00281,Evergreen,Post-Panamax,3000,India
SR00282,SHP00282,Vessel-00282,ONE,Ultra Large Container Vessel,4500,Singapore
SR00283,SHP00283,Vessel-00283,Maersk,Panamax,6500,Liberia
SR00284,SHP00284,Vessel-00284,MSC,Post-Panamax,8500,Panama
SR00285,SHP00285,Vessel-00285,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00286,SHP00286,Vessel-00286,Hapag-Lloyd,Panamax,3000,India
SR00287,SHP00287,Vessel-00287,Evergreen,Post-Panamax,4500,Singapore
SR00288,SHP00288,Vessel-00288,ONE,Ultra Large Container Vessel,6500,Liberia
SR00289,SHP00289,Vessel-00289,Maersk,Panamax,8500,Panama
SR00290,SHP00290,Vessel-00290,MSC,Post-Panamax,12000,Malta
SR00291,SHP00291,Vessel-00291,CMA CGM,Ultra Large Container Vessel,3000,India
SR00292,SHP00292,Vessel-00292,Hapag-Lloyd,Panamax,4500,Singapore
SR00293,SHP00293,Vessel-00293,Evergreen,Post-Panamax,6500,Liberia
SR00294,SHP00294,Vessel-00294,ONE,Ultra Large Container Vessel,8500,Panama
SR00295,SHP00295,Vessel-00295,Maersk,Panamax,12000,Malta
SR00296,SHP00296,Vessel-00296,MSC,Post-Panamax,3000,India
SR00297,SHP00297,Vessel-00297,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00298,SHP00298,Vessel-00298,Hapag-Lloyd,Panamax,6500,Liberia
SR00299,SHP00299,Vessel-00299,Evergreen,Post-Panamax,8500,Panama
SR00300,SHP00300,Vessel-00300,ONE,Ultra Large Container Vessel,12000,Malta
SR00301,SHP00301,Vessel-00301,Maersk,Panamax,3000,India
SR00302,SHP00302,Vessel-00302,MSC,Post-Panamax,4500,Singapore
SR00303,SHP00303,Vessel-00303,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00304,SHP00304,Vessel-00304,Hapag-Lloyd,Panamax,8500,Panama
SR00305,SHP00305,Vessel-00305,Evergreen,Post-Panamax,12000,Malta
SR00306,SHP00306,Vessel-00306,ONE,Ultra Large Container Vessel,3000,India
SR00307,SHP00307,Vessel-00307,Maersk,Panamax,4500,Singapore
SR00308,SHP00308,Vessel-00308,MSC,Post-Panamax,6500,Liberia
SR00309,SHP00309,Vessel-00309,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00310,SHP00310,Vessel-00310,Hapag-Lloyd,Panamax,12000,Malta
SR00311,SHP00311,Vessel-00311,Evergreen,Post-Panamax,3000,India
SR00312,SHP00312,Vessel-00312,ONE,Ultra Large Container Vessel,4500,Singapore
SR00313,SHP00313,Vessel-00313,Maersk,Panamax,6500,Liberia
SR00314,SHP00314,Vessel-00314,MSC,Post-Panamax,8500,Panama
SR00315,SHP00315,Vessel-00315,CMA CGM,Ultra Large Container Vessel,12000,Malta
SR00316,SHP00316,Vessel-00316,Hapag-Lloyd,Panamax,3000,India
SR00317,SHP00317,Vessel-00317,Evergreen,Post-Panamax,4500,Singapore
SR00318,SHP00318,Vessel-00318,ONE,Ultra Large Container Vessel,6500,Liberia
SR00319,SHP00319,Vessel-00319,Maersk,Panamax,8500,Panama
SR00320,SHP00320,Vessel-00320,MSC,Post-Panamax,12000,Malta
SR00321,SHP00321,Vessel-00321,CMA CGM,Ultra Large Container Vessel,3000,India
SR00322,SHP00322,Vessel-00322,Hapag-Lloyd,Panamax,4500,Singapore
SR00323,SHP00323,Vessel-00323,Evergreen,Post-Panamax,6500,Liberia
SR00324,SHP00324,Vessel-00324,ONE,Ultra Large Container Vessel,8500,Panama
SR00325,SHP00325,Vessel-00325,Maersk,Panamax,12000,Malta
SR00326,SHP00326,Vessel-00326,MSC,Post-Panamax,3000,India
SR00327,SHP00327,Vessel-00327,CMA CGM,Ultra Large Container Vessel,4500,Singapore
SR00328,SHP00328,Vessel-00328,Hapag-Lloyd,Panamax,6500,Liberia
SR00329,SHP00329,Vessel-00329,Evergreen,Post-Panamax,8500,Panama
SR00330,SHP00330,Vessel-00330,ONE,Ultra Large Container Vessel,12000,Malta
SR00331,SHP00331,Vessel-00331,Maersk,Panamax,3000,India
SR00332,SHP00332,Vessel-00332,MSC,Post-Panamax,4500,Singapore
SR00333,SHP00333,Vessel-00333,CMA CGM,Ultra Large Container Vessel,6500,Liberia
SR00334,SHP00334,Vessel-00334,Hapag-Lloyd,Panamax,8500,Panama
SR00335,SHP00335,Vessel-00335,Evergreen,Post-Panamax,12000,Malta
SR00336,SHP00336,Vessel-00336,ONE,Ultra Large Container Vessel,3000,India
SR00337,SHP00337,Vessel-00337,Maersk,Panamax,4500,Singapore
SR00338,SHP00338,Vessel-00338,MSC,Post-Panamax,6500,Liberia
SR00339,SHP00339,Vessel-00339,CMA CGM,Ultra Large Container Vessel,8500,Panama
SR00340,SHP00340,Vessel-00340,Hapag-Lloyd,Panamax,12000,Malta
