Yard_Record_ID,Date_Record_ID,Port_Record_ID,Yard_ID,Capacity_TEUs,Occupied_TEUs,Available_TEUs,Utilization_Percentage,Inbound_Containers,Outbound_Containers,Long_Stay_Containers
YRD00057,DR07017,PR00006,Yard B,12000,8604,3396,71.7,228,221,34
YRD00058,DR09997,PR00006,Yard C,13000,10712,2288,82.4,286,257,70
YRD00059,DR01437,PR00006,Yard D,11000,7799,3201,70.9,204,263,71
YRD00060,DR05705,PR00001,Yard C,13000,10452,2548,80.4,169,194,56
YRD00061,DR09084,PR00002,Yard A,14000,13790,210,98.5,219,155,82
YRD00062,DR07756,PR00007,Yard C,13000,10842,2158,83.4,250,310,92
YRD00063,DR01467,PR00004,Yard B,12000,8352,3648,69.6,187,125,57
YRD00064,DR06135,PR00001,Yard B,12000,9384,2616,78.2,326,314,59
YRD00065,DR00021,PR00003,Yard A,14000,12362,1638,88.3,269,249,68
YRD00066,DR04558,PR00004,Yard C,13000,11531,1469,88.7,195,289,77
YRD00067,DR08771,PR00006,Yard C,13000,10257,2743,78.9,181,206,79
YRD00068,DR03181,PR00006,Yard D,11000,6941,4059,63.1,246,232,42
YRD00069,DR03088,PR00001,Yard E,12500,12025,475,96.2,299,261,95
YRD00070,DR05072,PR00003,Yard B,12000,8568,3432,71.4,203,206,57
YRD00071,DR01420,PR00001,Yard D,11000,7557,3443,68.7,250,237,68
YRD00072,DR09936,PR00006,Yard C,13000,11063,1937,85.1,247,170,87
YRD00073,DR04762,PR00001,Yard E,12500,11938,562,95.5,189,154,78
YRD00074,DR03647,PR00004,Yard C,13000,12142,858,93.4,328,254,119
YRD00075,DR05408,PR00004,Yard C,13000,10777,2223,82.9,264,298,91
YRD00076,DR00249,PR00004,Yard E,12500,11888,612,95.1,299,350,104
YRD00077,DR06531,PR00004,Yard E,12500,11450,1050,91.6,270,274,85
YRD00078,DR09285,PR00005,Yard B,12000,8880,3120,74.0,235,288,68
YRD00079,DR02940,PR00004,Yard D,11000,7667,3333,69.7,270,207,64
YRD00080,DR05355,PR00001,Yard A,14000,13790,210,98.5,296,271,70
YRD00081,DR00889,PR00003,Yard A,14000,13608,392,97.2,222,240,64
YRD00082,DR03153,PR00004,Yard A,14000,13412,588,95.8,332,250,79
YRD00083,DR07557,PR00002,Yard B,12000,9384,2616,78.2,307,267,56
YRD00084,DR01441,PR00005,Yard E,12500,11300,1200,90.4,161,245,60
YRD00085,DR07077,PR00002,Yard D,11000,6743,4257,61.3,257,248,62
YRD00086,DR01691,PR00006,Yard A,14000,13104,896,93.6,300,222,68
YRD00087,DR02589,PR00001,Yard B,12000,8568,3432,71.4,238,350,73
YRD00088,DR01381,PR00005,Yard E,12500,11450,1050,91.6,312,221,113
YRD00089,DR07405,PR00001,Yard B,12000,8976,3024,74.8,169,230,35
YRD00090,DR07927,PR00003,Yard D,11000,7282,3718,66.2,248,181,86
YRD00091,DR00849,PR00002,Yard A,14000,13790,210,98.5,239,258,105
YRD00092,DR09138,PR00004,Yard B,12000,9288,2712,77.4,277,252,101
YRD00093,DR09895,PR00002,Yard A,14000,13790,210,98.5,258,192,133
YRD00094,DR06067,PR00006,Yard B,12000,9624,2376,80.2,274,251,70
YRD00095,DR02323,PR00004,Yard B,12000,9084,2916,75.7,300,292,36
YRD00096,DR03666,PR00007,Yard D,11000,7623,3377,69.3,272,252,73
YRD00097,DR06264,PR00005,Yard E,12500,11600,900,92.8,219,274,65
YRD00098,DR03720,PR00004,Yard C,13000,10270,2730,79.0,194,286,49
YRD00099,DR03565,PR00006,Yard A,14000,13048,952,93.2,166,265,101
YRD00100,DR06493,PR00002,Yard A,14000,13034,966,93.1,200,236,110
YRD00101,DR00568,PR00004,Yard A,14000,12600,1400,90.0,197,163,58
YRD00102,DR02118,PR00003,Yard E,12500,11650,850,93.2,262,202,110
YRD00103,DR08110,PR00005,Yard E,12500,11588,912,92.7,186,248,79
YRD00104,DR09257,PR00001,Yard C,13000,10738,2262,82.6,221,268,68
YRD00105,DR00134,PR00003,Yard B,12000,9684,2316,80.7,309,195,51
YRD00106,DR03957,PR00004,Yard A,14000,13790,210,98.5,360,178,108
YRD00107,DR00078,PR00003,Yard E,12500,11888,612,95.1,255,291,107
YRD00108,DR08279,PR00002,Yard E,12500,12238,262,97.9,302,241,67
YRD00109,DR02945,PR00003,Yard E,12500,11738,762,93.9,232,192,71
YRD00110,DR07954,PR00006,Yard A,14000,13790,210,98.5,216,236,55
YRD00111,DR09539,PR00002,Yard A,14000,13790,210,98.5,243,267,109
YRD00112,DR03449,PR00003,Yard A,14000,12684,1316,90.6,297,282,102
YRD00113,DR07301,PR00007,Yard C,13000,10634,2366,81.8,202,183,68
YRD00114,DR08492,PR00007,Yard C,13000,11466,1534,88.2,260,201,60
YRD00115,DR03119,PR00001,Yard B,12000,9216,2784,76.8,160,177,49
YRD00116,DR08746,PR00003,Yard B,12000,8472,3528,70.6,242,252,76
YRD00117,DR07408,PR00001,Yard C,13000,10335,2665,79.5,281,289,52
YRD00118,DR06643,PR00007,Yard A,14000,12656,1344,90.4,216,258,99
YRD00119,DR05458,PR00003,Yard B,12000,9924,2076,82.7,274,322,54
YRD00120,DR05089,PR00003,Yard E,12500,11850,650,94.8,225,211,111
YRD00121,DR08625,PR00002,Yard B,12000,9132,2868,76.1,275,295,41
YRD00122,DR07808,PR00004,Yard E,12500,11662,838,93.3,210,188,80
YRD00123,DR00565,PR00001,Yard A,14000,13678,322,97.7,351,285,110
YRD00124,DR04604,PR00006,Yard E,12500,11475,1025,91.8,224,290,84
YRD00125,DR06050,PR00003,Yard D,11000,8074,2926,73.4,250,300,44
YRD00126,DR04853,PR00004,Yard C,13000,10738,2262,82.6,196,269,66
YRD00127,DR09741,PR00006,Yard B,12000,9516,2484,79.3,219,199,106
YRD00128,DR08104,PR00001,Yard A,14000,13790,210,98.5,318,325,96
YRD00129,DR02224,PR00001,Yard E,12500,11125,1375,89.0,248,304,82
YRD00130,DR07698,PR00003,Yard A,14000,12852,1148,91.8,168,182,76
YRD00131,DR01688,PR00006,Yard C,13000,11414,1586,87.8,184,228,77
YRD00132,DR08676,PR00001,Yard B,12000,9456,2544,78.8,257,308,72
YRD00133,DR02301,PR00006,Yard B,12000,8712,3288,72.6,206,323,64
YRD00134,DR03610,PR00003,Yard D,11000,7249,3751,65.9,292,215,52
YRD00135,DR00506,PR00004,Yard C,13000,11245,1755,86.5,252,217,90
YRD00136,DR00295,PR00004,Yard A,14000,13790,210,98.5,333,266,125
YRD00137,DR08622,PR00001,Yard B,12000,9312,2688,77.6,213,169,92
YRD00138,DR00140,PR00002,Yard B,12000,8820,3180,73.5,114,146,47
YRD00139,DR02774,PR00005,Yard D,11000,7326,3674,66.6,260,218,83
YRD00140,DR08906,PR00003,Yard E,12500,11600,900,92.8,198,313,74
YRD00141,DR01488,PR00004,Yard B,12000,9504,2496,79.2,249,244,50
YRD00142,DR08633,PR00007,Yard B,12000,8868,3132,73.9,283,224,64
YRD00143,DR05482,PR00001,Yard B,12000,9528,2472,79.4,258,298,75
YRD00144,DR02662,PR00003,Yard D,11000,7271,3729,66.1,217,230,65
YRD00145,DR05557,PR00003,Yard C,13000,11089,1911,85.3,231,237,70
YRD00146,DR07020,PR00001,Yard C,13000,11960,1040,92.0,274,267,76
YRD00147,DR03426,PR00007,Yard B,12000,8904,3096,74.2,293,208,55
YRD00148,DR04815,PR00007,Yard D,11000,7469,3531,67.9,219,183,50
YRD00149,DR09681,PR00002,Yard E,12500,12138,362,97.1,220,161,91
YRD00150,DR00103,PR00007,Yard B,12000,9360,2640,78.0,266,315,79
YRD00151,DR03586,PR00001,Yard A,14000,13006,994,92.9,282,272,89
YRD00152,DR05325,PR00007,Yard C,13000,11128,1872,85.6,247,213,72
YRD00153,DR09074,PR00006,Yard C,13000,12038,962,92.6,247,249,99
YRD00154,DR04004,PR00002,Yard C,13000,11375,1625,87.5,254,256,67
YRD00155,DR04902,PR00004,Yard E,12500,11562,938,92.5,117,314,109
YRD00156,DR00214,PR00006,Yard D,11000,7249,3751,65.9,150,206,46
YRD00157,DR03178,PR00002,Yard C,13000,10985,2015,84.5,216,145,74
YRD00158,DR08368,PR00002,Yard C,13000,10842,2158,83.4,205,245,71
YRD00159,DR02158,PR00004,Yard C,13000,11440,1560,88.0,197,223,83
YRD00160,DR06385,PR00001,Yard C,13000,10972,2028,84.4,192,314,48
YRD00161,DR03174,PR00001,Yard B,12000,9012,2988,75.1,257,187,73
YRD00162,DR02508,PR00002,Yard E,12500,12000,500,96.0,203,195,82
YRD00163,DR05869,PR00005,Yard D,11000,7678,3322,69.8,224,301,74
YRD00164,DR09853,PR00003,Yard A,14000,13790,210,98.5,238,237,93
YRD00165,DR04842,PR00003,Yard E,12500,11850,650,94.8,306,261,95
YRD00166,DR07722,PR00001,Yard B,12000,9240,2760,77.0,299,266,68
YRD00167,DR01749,PR00001,Yard C,13000,10998,2002,84.6,294,242,61
YRD00168,DR09461,PR00004,Yard B,12000,8916,3084,74.3,185,292,61
YRD00169,DR07000,PR00001,Yard D,11000,7480,3520,68.0,232,291,34
YRD00170,DR05309,PR00004,Yard A,14000,13538,462,96.7,299,168,97
YRD00171,DR01841,PR00003,Yard E,12500,11575,925,92.6,251,193,52
YRD00172,DR09705,PR00005,Yard A,14000,13608,392,97.2,255,285,84
YRD00173,DR04039,PR00003,Yard A,14000,13720,280,98.0,294,247,116
YRD00174,DR05029,PR00006,Yard B,12000,9432,2568,78.6,307,244,56
YRD00175,DR03287,PR00001,Yard C,13000,10959,2041,84.3,198,231,46
YRD00176,DR06041,PR00006,Yard C,13000,11323,1677,87.1,246,199,61
YRD00177,DR00190,PR00002,Yard B,12000,9432,2568,78.6,310,266,94
YRD00178,DR00004,PR00001,Yard E,12500,11088,1412,88.7,237,233,106
YRD00179,DR01907,PR00004,Yard C,13000,11297,1703,86.9,244,221,73
YRD00180,DR06064,PR00002,Yard B,12000,8904,3096,74.2,227,191,93
YRD00181,DR03697,PR00003,Yard A,14000,13384,616,95.6,298,252,125
YRD00182,DR02055,PR00006,Yard E,12500,12088,412,96.7,265,200,108
YRD00183,DR01672,PR00006,Yard D,11000,7975,3025,72.5,317,222,64
YRD00184,DR03049,PR00004,Yard A,14000,13538,462,96.7,340,237,103
YRD00185,DR00828,PR00007,Yard E,12500,10825,1675,86.6,221,169,99
YRD00186,DR03852,PR00003,Yard B,12000,8712,3288,72.6,274,215,22
YRD00187,DR05693,PR00001,Yard A,14000,13790,210,98.5,226,280,81
YRD00188,DR02438,PR00006,Yard D,11000,7425,3575,67.5,266,230,68
YRD00189,DR07656,PR00002,Yard D,11000,8151,2849,74.1,293,287,48
YRD00190,DR03047,PR00001,Yard E,12500,11538,962,92.3,185,262,79
YRD00191,DR07861,PR00001,Yard E,12500,10838,1662,86.7,300,327,57
YRD00192,DR05222,PR00002,Yard E,12500,11850,650,94.8,217,187,76
YRD00193,DR05197,PR00002,Yard C,13000,11375,1625,87.5,206,250,96
YRD00194,DR04851,PR00002,Yard A,14000,12754,1246,91.1,228,232,95
YRD00195,DR03543,PR00004,Yard C,13000,11115,1885,85.5,206,186,69
YRD00196,DR07082,PR00005,Yard A,14000,13790,210,98.5,298,210,73
YRD00197,DR00948,PR00007,Yard D,11000,7513,3487,68.3,267,248,62
YRD00198,DR05060,PR00001,Yard D,11000,7183,3817,65.3,218,199,52
YRD00199,DR00471,PR00001,Yard E,12500,11888,612,95.1,268,296,95
YRD00200,DR09117,PR00004,Yard E,12500,11288,1212,90.3,181,207,73
YRD00201,DR04878,PR00001,Yard A,14000,13538,462,96.7,277,325,90
YRD00202,DR09082,PR00003,Yard B,12000,8472,3528,70.6,296,237,60
YRD00203,DR08526,PR00004,Yard E,12500,11262,1238,90.1,178,261,98
YRD00204,DR09003,PR00006,Yard D,11000,7634,3366,69.4,270,239,68
YRD00205,DR07080,PR00002,Yard B,12000,8856,3144,73.8,192,174,71
YRD00206,DR09820,PR00004,Yard B,12000,9696,2304,80.8,281,280,99
YRD00207,DR04576,PR00004,Yard E,12500,11862,638,94.9,176,241,76
YRD00208,DR06435,PR00006,Yard E,12500,12312,188,98.5,256,281,87
YRD00209,DR00474,PR00002,Yard A,14000,13202,798,94.3,292,222,73
YRD00210,DR03640,PR00005,Yard B,12000,8172,3828,68.1,257,165,57
YRD00211,DR01248,PR00005,Yard E,12500,12125,375,97.0,256,264,94
YRD00212,DR01055,PR00002,Yard A,14000,13216,784,94.4,219,255,104
YRD00213,DR06432,PR00004,Yard A,14000,13538,462,96.7,247,175,82
YRD00214,DR00735,PR00005,Yard D,11000,7524,3476,68.4,194,283,36
YRD00215,DR07130,PR00002,Yard E,12500,11475,1025,91.8,183,165,89
YRD00216,DR07668,PR00003,Yard D,11000,8063,2937,73.3,263,207,64
YRD00217,DR08641,PR00003,Yard C,13000,11024,1976,84.8,144,259,80
YRD00218,DR06131,PR00005,Yard B,12000,9648,2352,80.4,266,243,55
YRD00219,DR04976,PR00001,Yard E,12500,12000,500,96.0,190,297,83
YRD00220,DR09382,PR00003,Yard B,12000,9480,2520,79.0,228,221,75
YRD00221,DR08722,PR00001,Yard A,14000,13790,210,98.5,257,330,99
YRD00222,DR08324,PR00004,Yard A,14000,13202,798,94.3,265,175,70
YRD00223,DR05446,PR00005,Yard A,14000,13790,210,98.5,290,277,103
YRD00224,DR04933,PR00003,Yard E,12500,10838,1662,86.7,284,182,56
YRD00225,DR00953,PR00004,Yard B,12000,9888,2112,82.4,236,277,46
YRD00226,DR04863,PR00002,Yard C,13000,10790,2210,83.0,220,259,67
YRD00227,DR08515,PR00002,Yard E,12500,11450,1050,91.6,204,234,84
YRD00228,DR05805,PR00005,Yard B,12000,8376,3624,69.8,213,266,53
YRD00229,DR00788,PR00001,Yard A,14000,13314,686,95.1,226,245,58
YRD00230,DR06104,PR00005,Yard B,12000,9240,2760,77.0,138,218,49
YRD00231,DR04891,PR00004,Yard A,14000,13790,210,98.5,223,264,81
YRD00232,DR01010,PR00006,Yard C,13000,11869,1131,91.3,239,182,87
YRD00233,DR06105,PR00002,Yard A,14000,13146,854,93.9,218,236,85
YRD00234,DR09581,PR00003,Yard D,11000,7293,3707,66.3,232,246,31
YRD00235,DR04624,PR00001,Yard E,12500,11912,588,95.3,271,275,98
YRD00236,DR00086,PR00007,Yard B,12000,8844,3156,73.7,165,189,59
YRD00237,DR01439,PR00005,Yard A,14000,13524,476,96.6,360,259,89
YRD00238,DR00690,PR00004,Yard B,12000,9516,2484,79.3,222,196,90
YRD00239,DR05406,PR00005,Yard B,12000,9228,2772,76.9,265,233,51
YRD00240,DR07290,PR00002,Yard B,12000,8664,3336,72.2,245,257,46
YRD00241,DR04382,PR00004,Yard E,12500,11538,962,92.3,249,190,94
YRD00242,DR07201,PR00006,Yard B,12000,9156,2844,76.3,293,205,55
YRD00243,DR09422,PR00001,Yard D,11000,7216,3784,65.6,236,127,73
YRD00244,DR01951,PR00007,Yard A,14000,13216,784,94.4,237,144,84
YRD00245,DR07651,PR00006,Yard C,13000,11180,1820,86.0,269,297,99
YRD00246,DR00649,PR00007,Yard A,14000,13790,210,98.5,254,220,53
YRD00247,DR06145,PR00006,Yard A,14000,13790,210,98.5,196,180,93
YRD00248,DR00874,PR00002,Yard D,11000,7117,3883,64.7,153,141,45
YRD00249,DR09965,PR00004,Yard B,12000,9192,2808,76.6,282,232,83
YRD00250,DR05928,PR00001,Yard A,14000,13454,546,96.1,268,210,91
YRD00251,DR01293,PR00005,Yard B,12000,8844,3156,73.7,213,212,61
YRD00252,DR01782,PR00001,Yard C,13000,11128,1872,85.6,111,288,59
YRD00253,DR00305,PR00006,Yard C,13000,11570,1430,89.0,182,270,94
YRD00254,DR01458,PR00002,Yard A,14000,13524,476,96.6,219,271,72
YRD00255,DR08170,PR00001,Yard C,13000,11076,1924,85.2,213,148,82
YRD00256,DR09339,PR00001,Yard E,12500,11750,750,94.0,277,257,104
YRD00257,DR08021,PR00005,Yard B,12000,9072,2928,75.6,285,239,63
YRD00258,DR07427,PR00001,Yard C,13000,10907,2093,83.9,144,159,94
YRD00259,DR04779,PR00001,Yard E,12500,11325,1175,90.6,249,225,86
YRD00260,DR05902,PR00001,Yard E,12500,10662,1838,85.3,252,204,94
YRD00261,DR04724,PR00002,Yard A,14000,13496,504,96.4,208,265,91
YRD00262,DR08586,PR00007,Yard A,14000,13790,210,98.5,254,234,124
YRD00263,DR03327,PR00003,Yard A,14000,12656,1344,90.4,233,240,68
YRD00264,DR07729,PR00002,Yard A,14000,13580,420,97.0,253,251,78
YRD00265,DR01485,PR00001,Yard A,14000,13790,210,98.5,274,274,60
YRD00266,DR09591,PR00001,Yard E,12500,11350,1150,90.8,244,240,76
YRD00267,DR00801,PR00003,Yard A,14000,13790,210,98.5,320,308,128
YRD00268,DR09809,PR00001,Yard B,12000,9024,2976,75.2,317,167,63
YRD00269,DR09484,PR00001,Yard B,12000,9444,2556,78.7,240,240,77
YRD00270,DR06383,PR00001,Yard E,12500,10488,2012,83.9,168,256,106
YRD00271,DR02516,PR00002,Yard C,13000,11271,1729,86.7,271,263,66
YRD00272,DR00581,PR00005,Yard B,12000,9300,2700,77.5,236,317,49
YRD00273,DR02609,PR00001,Yard C,13000,11401,1599,87.7,191,167,99
YRD00274,DR06179,PR00005,Yard A,14000,13468,532,96.2,236,156,102
YRD00275,DR04408,PR00004,Yard A,14000,13790,210,98.5,211,317,99
YRD00276,DR08777,PR00006,Yard D,11000,7546,3454,68.6,265,247,48
YRD00277,DR06958,PR00001,Yard C,13000,11856,1144,91.2,267,280,103
YRD00278,DR06401,PR00006,Yard C,13000,11934,1066,91.8,301,260,93
YRD00279,DR06361,PR00006,Yard E,12500,11100,1400,88.8,260,234,62
YRD00280,DR00439,PR00007,Yard C,13000,11466,1534,88.2,161,309,106
YRD00281,DR04068,PR00006,Yard A,14000,13048,952,93.2,183,195,115
YRD00282,DR01428,PR00001,Yard A,14000,13202,798,94.3,269,262,105
YRD00283,DR07131,PR00007,Yard A,14000,13286,714,94.9,216,186,74
YRD00284,DR06916,PR00006,Yard A,14000,13790,210,98.5,238,117,86
YRD00285,DR00078,PR00002,Yard A,14000,13790,210,98.5,310,250,81
YRD00286,DR04337,PR00001,Yard C,13000,11570,1430,89.0,275,264,91
YRD00287,DR08180,PR00007,Yard B,12000,9828,2172,81.9,302,321,74
YRD00288,DR01112,PR00001,Yard B,12000,9672,2328,80.6,318,294,78
YRD00289,DR06405,PR00005,Yard E,12500,11188,1312,89.5,247,289,74
YRD00290,DR06930,PR00003,Yard C,13000,9971,3029,76.7,258,328,75
YRD00291,DR08436,PR00005,Yard B,12000,8532,3468,71.1,141,283,84
YRD00292,DR03010,PR00001,Yard C,13000,11388,1612,87.6,255,241,80
YRD00293,DR03825,PR00005,Yard E,12500,11800,700,94.4,253,202,87
YRD00294,DR02619,PR00003,Yard C,13000,11024,1976,84.8,256,246,62
YRD00295,DR08008,PR00007,Yard E,12500,11788,712,94.3,306,204,71
YRD00296,DR09166,PR00001,Yard D,11000,8415,2585,76.5,240,269,74
YRD00297,DR00567,PR00001,Yard A,14000,13790,210,98.5,237,236,73
YRD00298,DR07205,PR00001,Yard D,11000,7084,3916,64.4,211,161,22
YRD00299,DR02789,PR00001,Yard D,11000,7084,3916,64.4,319,282,37
YRD00300,DR09932,PR00007,Yard A,14000,13426,574,95.9,342,267,90
YRD00301,DR04295,PR00001,Yard D,11000,6919,4081,62.9,224,232,66
YRD00302,DR08505,PR00002,Yard C,13000,10335,2665,79.5,170,311,102
YRD00303,DR08493,PR00006,Yard A,14000,13790,210,98.5,189,309,100
YRD00304,DR01810,PR00002,Yard A,14000,13552,448,96.8,221,174,97
YRD00305,DR04375,PR00002,Yard B,12000,9036,2964,75.3,275,304,37
YRD00306,DR04675,PR00005,Yard C,13000,11635,1365,89.5,228,226,74
YRD00307,DR03444,PR00003,Yard E,12500,11900,600,95.2,280,161,78
YRD00308,DR03631,PR00006,Yard C,13000,11778,1222,90.6,275,229,70
YRD00309,DR08692,PR00004,Yard C,13000,11700,1300,90.0,242,293,101
YRD00310,DR08777,PR00002,Yard B,12000,8844,3156,73.7,301,235,37
YRD00311,DR03800,PR00004,Yard D,11000,7942,3058,72.2,194,178,74
YRD00312,DR06999,PR00006,Yard E,12500,11750,750,94.0,284,259,104
YRD00313,DR08722,PR00003,Yard B,12000,9684,2316,80.7,276,257,76
YRD00314,DR06659,PR00005,Yard B,12000,9408,2592,78.4,248,249,43
YRD00315,DR09465,PR00003,Yard C,13000,11011,1989,84.7,242,249,65
YRD00316,DR07408,PR00004,Yard A,14000,13790,210,98.5,271,193,87
YRD00317,DR02403,PR00005,Yard B,12000,9336,2664,77.8,294,194,46
YRD00318,DR01907,PR00001,Yard B,12000,8472,3528,70.6,217,199,72
YRD00319,DR06286,PR00003,Yard E,12500,10600,1900,84.8,234,217,99
YRD00320,DR06601,PR00001,Yard E,12500,12212,288,97.7,234,208,82
YRD00321,DR07681,PR00005,Yard D,11000,7865,3135,71.5,298,256,55
YRD00322,DR00952,PR00004,Yard D,11000,7766,3234,70.6,236,238,65
YRD00323,DR05614,PR00002,Yard D,11000,7810,3190,71.0,218,210,45
YRD00324,DR02200,PR00001,Yard C,13000,10465,2535,80.5,249,202,31
YRD00325,DR06297,PR00007,Yard D,11000,7601,3399,69.1,286,299,36
YRD00326,DR02131,PR00002,Yard C,13000,10348,2652,79.6,196,246,69
YRD00327,DR07788,PR00002,Yard A,14000,13790,210,98.5,276,281,82
YRD00328,DR02325,PR00001,Yard B,12000,9168,2832,76.4,153,311,96
YRD00329,DR08599,PR00004,Yard C,13000,11388,1612,87.6,227,257,67
YRD00330,DR02387,PR00002,Yard E,12500,11025,1475,88.2,294,111,83
YRD00331,DR07049,PR00006,Yard A,14000,13552,448,96.8,209,255,115
YRD00332,DR00325,PR00005,Yard C,13000,10634,2366,81.8,211,255,96
YRD00333,DR05746,PR00001,Yard C,13000,11349,1651,87.3,360,282,75
YRD00334,DR08680,PR00004,Yard B,12000,9504,2496,79.2,202,197,78
YRD00335,DR02660,PR00002,Yard A,14000,13650,350,97.5,209,275,69
YRD00336,DR01038,PR00001,Yard E,12500,11662,838,93.3,152,183,59
YRD00337,DR09099,PR00004,Yard E,12500,11812,688,94.5,153,191,95
YRD00338,DR05653,PR00002,Yard D,11000,8228,2772,74.8,215,225,95
YRD00339,DR05766,PR00006,Yard C,13000,10621,2379,81.7,244,181,96
YRD00340,DR01956,PR00004,Yard B,12000,8352,3648,69.6,190,247,63
YRD00341,DR04414,PR00002,Yard A,14000,13790,210,98.5,257,309,119
YRD00342,DR09705,PR00007,Yard B,12000,9504,2496,79.2,277,202,49
YRD00343,DR04669,PR00004,Yard D,11000,7689,3311,69.9,215,229,56
YRD00344,DR05878,PR00001,Yard E,12500,12125,375,97.0,334,190,97
YRD00345,DR02867,PR00003,Yard A,14000,13790,210,98.5,293,214,79
YRD00346,DR02651,PR00007,Yard D,11000,7029,3971,63.9,301,221,44
YRD00347,DR05010,PR00003,Yard E,12500,12312,188,98.5,346,266,100
