Container_ID,Container_Type,Size,Cargo_Category,Import_Export,Cargo_Weight_Tons,Hazardous
CONT00073,Dry,20FT,Electronics,Import,25.34,No
CONT00074,Reefer,45FT,Textiles,Export,9.85,No
CONT00075,Open Top,40FT,Electronics,Import,5.46,Yes
CONT00076,Tank,20FT,Textiles,Export,11.03,No
CONT00077,Dry,45FT,Electronics,Import,11.34,No
CONT00078,Reefer,40FT,Textiles,Export,20.55,No
CONT00079,Open Top,20FT,Electronics,Import,17.93,No
CONT00080,Tank,45FT,Textiles,Export,23.6,Yes
CONT00081,Dry,40FT,Electronics,Import,20.61,No
CONT00082,Reefer,20FT,Textiles,Export,14.16,No
CONT00083,Open Top,45FT,Electronics,Import,24.35,No
CONT00084,Tank,40FT,Textiles,Export,8.17,No
CONT00085,Dry,20FT,Electronics,Import,4.57,Yes
CONT00086,Reefer,45FT,Textiles,Export,6.25,No
CONT00087,Open Top,40FT,Electronics,Import,22.06,No
CONT00088,Tank,20FT,Textiles,Export,15.55,No
CONT00089,Dry,45FT,Electronics,Import,8.03,No
CONT00090,Reefer,40FT,Textiles,Export,16.53,Yes
CONT00091,Open Top,20FT,Electronics,Import,7.81,No
CONT00092,Tank,45FT,Textiles,Export,21.41,No
CONT00093,Dry,40FT,Electronics,Import,15.15,No
CONT00094,Reefer,20FT,Textiles,Export,13.53,No
CONT00095,Open Top,45FT,Electronics,Import,11.54,Yes
CONT00096,Tank,40FT,Textiles,Export,19.76,No
CONT00097,Dry,20FT,Electronics,Import,13.05,No
CONT00098,Reefer,45FT,Textiles,Export,6.19,No
CONT00099,Open Top,40FT,Electronics,Import,6.95,No
CONT00100,Tank,20FT,Textiles,Export,28.05,Yes
CONT00101,Dry,45FT,Electronics,Import,26.71,No
CONT00102,Reefer,40FT,Textiles,Export,21.49,No
CONT00103,Open Top,20FT,Electronics,Import,10.65,No
CONT00104,Tank,45FT,Textiles,Export,28.23,No
CONT00105,Dry,40FT,Electronics,Import,23.47,Yes
CONT00106,Reefer,20FT,Textiles,Export,21.92,No
CONT00107,Open Top,45FT,Electronics,Import,15.23,No
CONT00108,Tank,40FT,Textiles,Export,10.81,No
CONT00109,Dry,20FT,Electronics,Import,6.41,No
CONT00110,Reefer,45FT,Textiles,Export,26.57,Yes
CONT00111,Open Top,40FT,Electronics,Import,15.39,No
CONT00112,Tank,20FT,Textiles,Export,9.06,No
CONT00113,Dry,45FT,Electronics,Import,11.65,No
CONT00114,Reefer,40FT,Textiles,Export,18.48,No
CONT00115,Open Top,20FT,Electronics,Import,8.42,Yes
CONT00116,Tank,45FT,Textiles,Export,25.42,No
CONT00117,Dry,40FT,Electronics,Import,22.96,No
CONT00118,Reefer,20FT,Textiles,Export,21.99,No
CONT00119,Open Top,45FT,Electronics,Import,14.8,No
CONT00120,Tank,40FT,Textiles,Export,19.68,Yes
CONT00121,Dry,20FT,Electronics,Import,18.6,No
CONT00122,Reefer,45FT,Textiles,Export,20.25,No
CONT00123,Open Top,40FT,Electronics,Import,6.11,No
CONT00124,Tank,20FT,Textiles,Export,14.4,No
CONT00125,Dry,45FT,Electronics,Import,5.04,Yes
CONT00126,Reefer,40FT,Textiles,Export,16.35,No
CONT00127,Open Top,20FT,Electronics,Import,12.25,No
CONT00128,Tank,45FT,Textiles,Export,7.61,No
CONT00129,Dry,40FT,Electronics,Import,6.59,No
CONT00130,Reefer,20FT,Textiles,Export,18.69,Yes
CONT00131,Open Top,45FT,Electronics,Import,8.26,No
CONT00132,Tank,40FT,Textiles,Export,27.13,No
CONT00133,Dry,20FT,Electronics,Import,18.53,No
CONT00134,Reefer,45FT,Textiles,Export,12.67,No
CONT00135,Open Top,40FT,Electronics,Import,18.77,Yes
CONT00136,Tank,20FT,Textiles,Export,4.57,No
CONT00137,Dry,45FT,Electronics,Import,27.96,No
CONT00138,Reefer,40FT,Textiles,Export,16.06,No
CONT00139,Open Top,20FT,Electronics,Import,23.57,No
CONT00140,Tank,45FT,Textiles,Export,6.07,Yes
CONT00141,Dry,40FT,Electronics,Import,16.17,No
CONT00142,Reefer,20FT,Textiles,Export,16.27,No
CONT00143,Open Top,45FT,Electronics,Import,27.45,No
CONT00144,Tank,40FT,Textiles,Export,18.29,No
CONT00145,Dry,20FT,Electronics,Import,15.84,Yes
CONT00146,Reefer,45FT,Textiles,Export,10.67,No
CONT00147,Open Top,40FT,Electronics,Import,12.29,No
CONT00148,Tank,20FT,Textiles,Export,17.02,No
CONT00149,Dry,45FT,Electronics,Import,14.97,No
CONT00150,Reefer,40FT,Textiles,Export,4.54,Yes
CONT00151,Open Top,20FT,Electronics,Import,24.66,No
CONT00152,Tank,45FT,Textiles,Export,26.4,No
CONT00153,Dry,40FT,Electronics,Import,7.51,No
CONT00154,Reefer,20FT,Textiles,Export,17.85,No
CONT00155,Open Top,45FT,Electronics,Import,6.71,Yes
CONT00156,Tank,40FT,Textiles,Export,20.81,No
CONT00157,Dry,20FT,Electronics,Import,11.03,No
CONT00158,Reefer,45FT,Textiles,Export,20.49,No
CONT00159,Open Top,40FT,Electronics,Import,22.17,No
CONT00160,Tank,20FT,Textiles,Export,23.22,Yes
CONT00161,Dry,45FT,Electronics,Import,6.69,No
CONT00162,Reefer,40FT,Textiles,Export,26.9,No
CONT00163,Open Top,20FT,Electronics,Import,9.76,No
CONT00164,Tank,45FT,Textiles,Export,4.94,No
CONT00165,Dry,40FT,Electronics,Import,17.87,Yes
CONT00166,Reefer,20FT,Textiles,Export,13.27,No
CONT00167,Open Top,45FT,Electronics,Import,24.74,No
CONT00168,Tank,40FT,Textiles,Export,24.21,No
CONT00169,Dry,20FT,Electronics,Import,11.93,No
CONT00170,Reefer,45FT,Textiles,Export,27.82,Yes
CONT00171,Open Top,40FT,Electronics,Import,11.27,No
CONT00172,Tank,20FT,Textiles,Export,16.88,No
CONT00173,Dry,45FT,Electronics,Import,10.4,No
CONT00174,Reefer,40FT,Textiles,Export,27.4,No
CONT00175,Open Top,20FT,Electronics,Import,8.12,Yes
CONT00176,Tank,45FT,Textiles,Export,5.12,No
CONT00177,Dry,40FT,Electronics,Import,14.88,No
CONT00178,Reefer,20FT,Textiles,Export,28.81,No
CONT00179,Open Top,45FT,Electronics,Import,26.29,No
CONT00180,Tank,40FT,Textiles,Export,22.72,Yes
CONT00181,Dry,20FT,Electronics,Import,26.27,No
CONT00182,Reefer,45FT,Textiles,Export,26.34,No
CONT00183,Open Top,40FT,Electronics,Import,16.97,No
CONT00184,Tank,20FT,Textiles,Export,11.9,No
CONT00185,Dry,45FT,Electronics,Import,23.3,Yes
CONT00186,Reefer,40FT,Textiles,Export,20.54,No
CONT00187,Open Top,20FT,Electronics,Import,13.34,No
CONT00188,Tank,45FT,Textiles,Export,6.36,No
CONT00189,Dry,40FT,Electronics,Import,22.67,No
CONT00190,Reefer,20FT,Textiles,Export,10.56,Yes
CONT00191,Open Top,45FT,Electronics,Import,27.42,No
CONT00192,Tank,40FT,Textiles,Export,10.02,No
CONT00193,Dry,20FT,Electronics,Import,7.07,No
CONT00194,Reefer,45FT,Textiles,Export,24.78,No
CONT00195,Open Top,40FT,Electronics,Import,7.83,Yes
CONT00196,Tank,20FT,Textiles,Export,8.48,No
CONT00197,Dry,45FT,Electronics,Import,18.98,No
CONT00198,Reefer,40FT,Textiles,Export,25.86,No
CONT00199,Open Top,20FT,Electronics,Import,8.91,No
CONT00200,Tank,45FT,Textiles,Export,11.76,Yes
CONT00201,Dry,40FT,Electronics,Import,23.44,No
CONT00202,Reefer,20FT,Textiles,Export,28.3,No
CONT00203,Open Top,45FT,Electronics,Import,16.52,No
CONT00204,Tank,40FT,Textiles,Export,7.6,No
CONT00205,Dry,20FT,Electronics,Import,4.35,Yes
CONT00206,Reefer,45FT,Textiles,Export,9.74,No
CONT00207,Open Top,40FT,Electronics,Import,7.3,No
CONT00208,Tank,20FT,Textiles,Export,20.94,No
CONT00209,Dry,45FT,Electronics,Import,7.05,No
CONT00210,Reefer,40FT,Textiles,Export,16.66,Yes
CONT00211,Open Top,20FT,Electronics,Import,21.36,No
CONT00212,Tank,45FT,Textiles,Export,18.53,No
CONT00213,Dry,40FT,Electronics,Import,8.99,No
CONT00214,Reefer,20FT,Textiles,Export,24.1,No
CONT00215,Open Top,45FT,Electronics,Import,21.89,Yes
CONT00216,Tank,40FT,Textiles,Export,22.47,No
CONT00217,Dry,20FT,Electronics,Import,7.28,No
CONT00218,Reefer,45FT,Textiles,Export,7.09,No
CONT00219,Open Top,40FT,Electronics,Import,27.19,No
CONT00220,Tank,20FT,Textiles,Export,13.94,Yes
CONT00221,Dry,45FT,Electronics,Import,11.52,No
CONT00222,Reefer,40FT,Textiles,Export,16.21,No
CONT00223,Open Top,20FT,Electronics,Import,20.57,No
CONT00224,Tank,45FT,Textiles,Export,27.89,No
CONT00225,Dry,40FT,Electronics,Import,11.16,Yes
CONT00226,Reefer,20FT,Textiles,Export,27.12,No
CONT00227,Open Top,45FT,Electronics,Import,4.62,No
CONT00228,Tank,40FT,Textiles,Export,17.88,No
CONT00229,Dry,20FT,Electronics,Import,19.85,No
CONT00230,Reefer,45FT,Textiles,Export,6.65,Yes
CONT00231,Open Top,40FT,Electronics,Import,7.51,No
CONT00232,Tank,20FT,Textiles,Export,14.48,No
CONT00233,Dry,45FT,Electronics,Import,28.16,No
CONT00234,Reefer,40FT,Textiles,Export,18.9,No
CONT00235,Open Top,20FT,Electronics,Import,27.33,Yes
CONT00236,Tank,45FT,Textiles,Export,24.11,No
CONT00237,Dry,40FT,Electronics,Import,15.68,No
CONT00238,Reefer,20FT,Textiles,Export,23.62,No
CONT00239,Open Top,45FT,Electronics,Import,4.45,No
CONT00240,Tank,40FT,Textiles,Export,6.73,Yes
CONT00241,Dry,20FT,Electronics,Import,24.74,No
CONT00242,Reefer,45FT,Textiles,Export,23.92,No
CONT00243,Open Top,40FT,Electronics,Import,9.82,No
CONT00244,Tank,20FT,Textiles,Export,17.27,No
CONT00245,Dry,45FT,Electronics,Import,19.15,Yes
CONT00246,Reefer,40FT,Textiles,Export,25.69,No
CONT00247,Open Top,20FT,Electronics,Import,19.08,No
CONT00248,Tank,45FT,Textiles,Export,14.31,No
CONT00249,Dry,40FT,Electronics,Import,13.35,No
CONT00250,Reefer,20FT,Textiles,Export,14.65,Yes
CONT00251,Open Top,45FT,Electronics,Import,20.3,No
CONT00252,Tank,40FT,Textiles,Export,25.69,No
CONT00253,Dry,20FT,Electronics,Import,15.35,No
CONT00254,Reefer,45FT,Textiles,Export,10.2,No
CONT00255,Open Top,40FT,Electronics,Import,9.92,Yes
CONT00256,Tank,20FT,Textiles,Export,22.65,No
CONT00257,Dry,45FT,Electronics,Import,24.41,No
CONT00258,Reefer,40FT,Textiles,Export,6.63,No
CONT00259,Open Top,20FT,Electronics,Import,5.66,No
CONT00260,Tank,45FT,Textiles,Export,18.86,Yes
CONT00261,Dry,40FT,Electronics,Import,7.65,No
CONT00262,Reefer,20FT,Textiles,Export,24.62,No
CONT00263,Open Top,45FT,Electronics,Import,11.76,No
CONT00264,Tank,40FT,Textiles,Export,7.6,No
CONT00265,Dry,20FT,Electronics,Import,27.02,Yes
CONT00266,Reefer,45FT,Textiles,Export,8.14,No
CONT00267,Open Top,40FT,Electronics,Import,11.12,No
CONT00268,Tank,20FT,Textiles,Export,7.84,No
CONT00269,Dry,45FT,Electronics,Import,6.89,No
CONT00270,Reefer,40FT,Textiles,Export,4.53,Yes
CONT00271,Open Top,20FT,Electronics,Import,5.38,No
CONT00272,Tank,45FT,Textiles,Export,8.37,No
CONT00273,Dry,40FT,Electronics,Import,5.33,No
CONT00274,Reefer,20FT,Textiles,Export,18.78,No
CONT00275,Open Top,45FT,Electronics,Import,21.02,Yes
CONT00276,Tank,40FT,Textiles,Export,13.84,No
CONT00277,Dry,20FT,Electronics,Import,11.95,No
CONT00278,Reefer,45FT,Textiles,Export,16.61,No
CONT00279,Open Top,40FT,Electronics,Import,25.88,No
CONT00280,Tank,20FT,Textiles,Export,25.28,Yes
CONT00281,Dry,45FT,Electronics,Import,5.09,No
CONT00282,Reefer,40FT,Textiles,Export,8.54,No
CONT00283,Open Top,20FT,Electronics,Import,9.92,No
CONT00284,Tank,45FT,Textiles,Export,10.23,No
CONT00285,Dry,40FT,Electronics,Import,18.28,Yes
CONT00286,Reefer,20FT,Textiles,Export,14.41,No
CONT00287,Open Top,45FT,Electronics,Import,5.23,No
CONT00288,Tank,40FT,Textiles,Export,13.34,No
CONT00289,Dry,20FT,Electronics,Import,17.09,No
CONT00290,Reefer,45FT,Textiles,Export,6.54,Yes
CONT00291,Open Top,40FT,Electronics,Import,24.84,No
CONT00292,Tank,20FT,Textiles,Export,5.3,No
CONT00293,Dry,45FT,Electronics,Import,27.12,No
CONT00294,Reefer,40FT,Textiles,Export,6.48,No
CONT00295,Open Top,20FT,Electronics,Import,25.09,Yes
CONT00296,Tank,45FT,Textiles,Export,26.57,No
CONT00297,Dry,40FT,Electronics,Import,28.49,No
CONT00298,Reefer,20FT,Textiles,Export,24.05,No
CONT00299,Open Top,45FT,Electronics,Import,23.49,No
CONT00300,Tank,40FT,Textiles,Export,20.06,Yes
CONT00301,Dry,20FT,Electronics,Import,23.47,No
CONT00302,Reefer,45FT,Textiles,Export,7.36,No
CONT00303,Open Top,40FT,Electronics,Import,17.4,No
CONT00304,Tank,20FT,Textiles,Export,16.86,No
CONT00305,Dry,45FT,Electronics,Import,25.44,Yes
CONT00306,Reefer,40FT,Textiles,Export,15.57,No
CONT00307,Open Top,20FT,Electronics,Import,13.63,No
CONT00308,Tank,45FT,Textiles,Export,19.99,No
CONT00309,Dry,40FT,Electronics,Import,10.66,No
CONT00310,Reefer,20FT,Textiles,Export,7.49,Yes
CONT00311,Open Top,45FT,Electronics,Import,15.95,No
CONT00312,Tank,40FT,Textiles,Export,14.42,No
CONT00313,Dry,20FT,Electronics,Import,9.81,No
CONT00314,Reefer,45FT,Textiles,Export,13.19,No
CONT00315,Open Top,40FT,Electronics,Import,13.16,Yes
CONT00316,Tank,20FT,Textiles,Export,12.19,No
CONT00317,Dry,45FT,Electronics,Import,13.49,No
CONT00318,Reefer,40FT,Textiles,Export,21.14,No
CONT00319,Open Top,20FT,Electronics,Import,11.42,No
CONT00320,Tank,45FT,Textiles,Export,27.72,Yes
CONT00321,Dry,40FT,Electronics,Import,26.91,No
CONT00322,Reefer,20FT,Textiles,Export,16.02,No
CONT00323,Open Top,45FT,Electronics,Import,12.21,No
CONT00324,Tank,40FT,Textiles,Export,17.39,No
CONT00325,Dry,20FT,Electronics,Import,25.21,Yes
CONT00326,Reefer,45FT,Textiles,Export,20.31,No
CONT00327,Open Top,40FT,Electronics,Import,24.11,No
CONT00328,Tank,20FT,Textiles,Export,17.32,No
CONT00329,Dry,45FT,Electronics,Import,19.82,No
CONT00330,Reefer,40FT,Textiles,Export,11.2,Yes
CONT00331,Open Top,20FT,Electronics,Import,22.37,No
CONT00332,Tank,45FT,Textiles,Export,9.06,No
CONT00333,Dry,40FT,Electronics,Import,21.37,No
CONT00334,Reefer,20FT,Textiles,Export,25.52,No
CONT00335,Open Top,45FT,Electronics,Import,7.3,Yes
CONT00336,Tank,40FT,Textiles,Export,19.36,No
CONT00337,Dry,20FT,Electronics,Import,6.38,No
CONT00338,Reefer,45FT,Textiles,Export,22.14,No
CONT00339,Open Top,40FT,Electronics,Import,6.11,No
CONT00340,Tank,20FT,Textiles,Export,27.4,Yes
CONT00341,Dry,45FT,Electronics,Import,7.44,No
CONT00342,Reefer,40FT,Textiles,Export,27.97,No
CONT00343,Open Top,20FT,Electronics,Import,24.02,No
CONT00344,Tank,45FT,Textiles,Export,18.84,No
CONT00345,Dry,40FT,Electronics,Import,23.57,Yes
CONT00346,Reefer,20FT,Textiles,Export,23.88,No
CONT00347,Open Top,45FT,Electronics,Import,27.65,No
CONT00348,Tank,40FT,Textiles,Export,10.33,No
CONT00349,Dry,20FT,Electronics,Import,18.75,No
CONT00350,Reefer,45FT,Textiles,Export,6.38,Yes
CONT00351,Open Top,40FT,Electronics,Import,19.4,No
CONT00352,Tank,20FT,Textiles,Export,8.28,No
CONT00353,Dry,45FT,Electronics,Import,18.12,No
CONT00354,Reefer,40FT,Textiles,Export,18.31,No
CONT00355,Open Top,20FT,Electronics,Import,15.65,Yes
CONT00356,Tank,45FT,Textiles,Export,17.07,No
CONT00357,Dry,40FT,Electronics,Import,23.1,No
CONT00358,Reefer,20FT,Textiles,Export,23.98,No
CONT00359,Open Top,45FT,Electronics,Import,16.3,No
CONT00360,Tank,40FT,Textiles,Export,18.99,Yes
CONT00361,Dry,20FT,Electronics,Import,27.28,No
CONT00362,Reefer,45FT,Textiles,Export,6.99,No
CONT00363,Open Top,40FT,Electronics,Import,6.93,No
CONT00364,Tank,20FT,Textiles,Export,6.19,No
CONT00365,Dry,45FT,Electronics,Import,20.45,Yes
CONT00366,Reefer,40FT,Textiles,Export,14.47,No
CONT00367,Open Top,20FT,Electronics,Import,23.36,No
CONT00368,Tank,45FT,Textiles,Export,20.78,No
CONT00369,Dry,40FT,Electronics,Import,12.34,No
CONT00370,Reefer,20FT,Textiles,Export,26.46,Yes
CONT00371,Open Top,45FT,Electronics,Import,23.06,No
CONT00372,Tank,40FT,Textiles,Export,10.76,No
CONT00373,Dry,20FT,Electronics,Import,13.1,No
CONT00374,Reefer,45FT,Textiles,Export,11.86,No
CONT00375,Open Top,40FT,Electronics,Import,7.94,Yes
CONT00376,Tank,20FT,Textiles,Export,7.69,No
CONT00377,Dry,45FT,Electronics,Import,27.4,No
CONT00378,Reefer,40FT,Textiles,Export,14.95,No
CONT00379,Open Top,20FT,Electronics,Import,13.58,No
CONT00380,Tank,45FT,Textiles,Export,22.24,Yes
CONT00381,Dry,40FT,Electronics,Import,17.82,No
CONT00382,Reefer,20FT,Textiles,Export,27.4,No
CONT00383,Open Top,45FT,Electronics,Import,23.51,No
CONT00384,Tank,40FT,Textiles,Export,15.98,No
CONT00385,Dry,20FT,Electronics,Import,13.41,Yes
CONT00386,Reefer,45FT,Textiles,Export,28.67,No
CONT00387,Open Top,40FT,Electronics,Import,21.94,No
CONT00388,Tank,20FT,Textiles,Export,27.78,No
CONT00389,Dry,45FT,Electronics,Import,6.96,No
CONT00390,Reefer,40FT,Textiles,Export,25.26,Yes
CONT00391,Open Top,20FT,Electronics,Import,19.93,No
CONT00392,Tank,45FT,Textiles,Export,7.05,No
CONT00393,Dry,40FT,Electronics,Import,18.71,No
CONT00394,Reefer,20FT,Textiles,Export,21.15,No
CONT00395,Open Top,45FT,Electronics,Import,4.31,Yes
CONT00396,Tank,40FT,Textiles,Export,15.36,No
CONT00397,Dry,20FT,Electronics,Import,24.63,No
CONT00398,Reefer,45FT,Textiles,Export,11.38,No
CONT00399,Open Top,40FT,Electronics,Import,15.46,No
CONT00400,Tank,20FT,Textiles,Export,15.06,Yes
CONT00401,Dry,45FT,Electronics,Import,11.55,No
CONT00402,Reefer,40FT,Textiles,Export,26.96,No
CONT00403,Open Top,20FT,Electronics,Import,23.53,No
CONT00404,Tank,45FT,Textiles,Export,6.76,No
CONT00405,Dry,40FT,Electronics,Import,28.93,Yes
CONT00406,Reefer,20FT,Textiles,Export,25.98,No
CONT00407,Open Top,45FT,Electronics,Import,11.1,No
CONT00408,Tank,40FT,Textiles,Export,24.92,No
CONT00409,Dry,20FT,Electronics,Import,6.66,No
CONT00410,Reefer,45FT,Textiles,Export,28.98,Yes
CONT00411,Open Top,40FT,Electronics,Import,20.64,No
CONT00412,Tank,20FT,Textiles,Export,20.25,No
CONT00413,Dry,45FT,Electronics,Import,6.26,No
CONT00414,Reefer,40FT,Textiles,Export,26.43,No
CONT00415,Open Top,20FT,Electronics,Import,4.72,Yes
CONT00416,Tank,45FT,Textiles,Export,10.02,No
CONT00417,Dry,40FT,Electronics,Import,7.58,No
CONT00418,Reefer,20FT,Textiles,Export,23.42,No
CONT00419,Open Top,45FT,Electronics,Import,8.96,No
CONT00420,Tank,40FT,Textiles,Export,26.77,Yes
CONT00421,Dry,20FT,Electronics,Import,20.41,No
CONT00422,Reefer,45FT,Textiles,Export,4.9,No
CONT00423,Open Top,40FT,Electronics,Import,4.14,No
CONT00424,Tank,20FT,Textiles,Export,5.29,No
CONT00425,Dry,45FT,Electronics,Import,19.15,Yes
CONT00426,Reefer,40FT,Textiles,Export,24.04,No
CONT00427,Open Top,20FT,Electronics,Import,9.96,No
CONT00428,Tank,45FT,Textiles,Export,25.24,No
CONT00429,Dry,40FT,Electronics,Import,5.43,No
CONT00430,Reefer,20FT,Textiles,Export,24.02,Yes
CONT00431,Open Top,45FT,Electronics,Import,27.19,No
CONT00432,Tank,40FT,Textiles,Export,23.3,No
CONT00433,Dry,20FT,Electronics,Import,21.45,No
CONT00434,Reefer,45FT,Textiles,Export,24.95,No
CONT00435,Open Top,40FT,Electronics,Import,5.0,Yes
CONT00436,Tank,20FT,Textiles,Export,9.04,No
CONT00437,Dry,45FT,Electronics,Import,7.12,No
CONT00438,Reefer,40FT,Textiles,Export,16.61,No
CONT00439,Open Top,20FT,Electronics,Import,22.63,No
CONT00440,Tank,45FT,Textiles,Export,19.75,Yes
CONT00441,Dry,40FT,Electronics,Import,25.28,No
CONT00442,Reefer,20FT,Textiles,Export,7.88,No
CONT00443,Open Top,45FT,Electronics,Import,22.37,No
CONT00444,Tank,40FT,Textiles,Export,8.83,No
CONT00445,Dry,20FT,Electronics,Import,10.77,Yes
CONT00446,Reefer,45FT,Textiles,Export,21.75,No
CONT00447,Open Top,40FT,Electronics,Import,28.51,No
CONT00448,Tank,20FT,Textiles,Export,19.29,No
CONT00449,Dry,45FT,Electronics,Import,5.36,No
CONT00450,Reefer,40FT,Textiles,Export,19.41,Yes
CONT00451,Open Top,20FT,Electronics,Import,5.06,No
CONT00452,Tank,45FT,Textiles,Export,26.1,No
CONT00453,Dry,40FT,Electronics,Import,21.74,No
CONT00454,Reefer,20FT,Textiles,Export,8.33,No
CONT00455,Open Top,45FT,Electronics,Import,6.29,Yes
CONT00456,Tank,40FT,Textiles,Export,8.59,No
CONT00457,Dry,20FT,Electronics,Import,28.5,No
CONT00458,Reefer,45FT,Textiles,Export,15.46,No
CONT00459,Open Top,40FT,Electronics,Import,23.6,No
CONT00460,Tank,20FT,Textiles,Export,19.91,Yes
CONT00461,Dry,45FT,Electronics,Import,18.31,No
CONT00462,Reefer,40FT,Textiles,Export,7.63,No
CONT00463,Open Top,20FT,Electronics,Import,27.65,No
CONT00464,Tank,45FT,Textiles,Export,11.53,No
CONT00465,Dry,40FT,Electronics,Import,18.45,Yes
CONT00466,Reefer,20FT,Textiles,Export,21.49,No
CONT00467,Open Top,45FT,Electronics,Import,20.23,No
CONT00468,Tank,40FT,Textiles,Export,27.51,No
CONT00469,Dry,20FT,Electronics,Import,7.71,No
CONT00470,Reefer,45FT,Textiles,Export,16.71,Yes
CONT00471,Open Top,40FT,Electronics,Import,14.1,No
CONT00472,Tank,20FT,Textiles,Export,15.85,No
CONT00473,Dry,45FT,Electronics,Import,6.98,No
CONT00474,Reefer,40FT,Textiles,Export,7.35,No
CONT00475,Open Top,20FT,Electronics,Import,10.95,Yes
CONT00476,Tank,45FT,Textiles,Export,11.62,No
CONT00477,Dry,40FT,Electronics,Import,14.7,No
CONT00478,Reefer,20FT,Textiles,Export,19.27,No
CONT00479,Open Top,45FT,Electronics,Import,19.87,No
CONT00480,Tank,40FT,Textiles,Export,14.3,Yes
CONT00481,Dry,20FT,Electronics,Import,14.22,No
